BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
14.4,23.0,206.0,206.0,30.0,30.0,,,4.0
14.3,18.2,165.0,185.5,24.0,27.0,,,8.0
15.8,16.3,142.0,171.0,22.0,25.3,,,12.0
15.2,15.1,144.0,164.2,22.0,24.5,,,16.0
19.7,15.1,135.0,158.4,27.0,25.0,,,19.0
15.2,15.4,115.0,151.2,17.0,23.7,,,23.0
15.0,15.4,164.0,153.0,25.0,23.9,,,26.0
13.6,15.1,214.0,160.6,29.0,24.5,,,31.0
12.9,14.6,133.0,157.6,17.0,23.7,,,36.0
10.6,13.9,111.0,152.9,12.0,22.5,,,41.0
18.5,13.9,128.0,150.6,24.0,22.6,,,45.0
22.4,15.0,94.0,145.9,21.0,22.5,,,47.0
14.3,15.2,164.0,147.3,23.0,22.5,,,52.0
14.4,15.7,152.0,147.6,22.0,22.5,,,56.0
32.6,18.4,46.0,140.9,15.0,22.0,,,58.0
16.9,17.9,157.0,141.9,26.0,22.2,,,61.0
13.0,15.2,140.0,141.8,18.0,22.0,,,66.0
12.0,14.8,158.0,142.7,19.0,21.8,,,71.0
12.9,14.3,161.0,143.6,21.0,21.8,,,75.0
12.8,12.9,138.0,143.4,18.0,21.6,,,80.0
14.0,12.9,126.0,142.5,18.0,21.4,,,85.0
14.9,13.3,158.0,143.2,23.0,21.5,,,89.0
11.7,13.3,161.0,144.0,19.0,21.4,,,94.0
16.7,13.9,142.0,143.9,24.0,21.5,,,97.0
15.3,14.7,188.0,145.7,29.0,21.8,,,101.0
13.6,14.6,164.0,146.4,22.0,21.8,,,106.0
13.0,14.0,150.0,146.5,20.0,21.7,,,110.0
24.2,15.2,795.0,169.7,192.0,27.8,,,122.0
7.1,14.0,82.0,166.7,6.0,27.1,,,126.0
83.3,17.0,53.0,162.9,44.0,27.6,,,127.0
13.3,16.8,305.0,167.5,40.0,28.0,,,132.0
10.9,16.1,446.0,176.2,48.0,28.7,,,139.0
11.7,12.0,363.0,181.8,43.0,29.1,,,142.0
15.5,13.5,425.0,189.0,66.0,30.2,,,146.0
11.0,12.0,443.0,196.2,49.0,30.7,,,152.0
14.4,12.4,410.0,202.2,59.0,31.5,,,156.0
41.7,13.9,95.0,199.3,40.0,31.7,,,157.0
41.7,23.9,286.0,201.6,119.0,34.0,,,158.0
41.7,32.6,378.0,206.1,157.0,37.2,,,158.0
14.6,32.6,393.0,210.8,57.0,37.7,,,163.0
17.2,33.5,260.0,212.0,45.0,37.9,,,167.0
18.1,25.7,307.0,214.2,55.0,38.3,,,170.0
10.9,16.6,348.0,217.3,38.0,38.3,,,175.0
13.6,15.1,389.0,221.2,53.0,38.6,,,180.0
12.3,14.4,387.0,224.9,48.0,38.8,,,184.0
15.5,13.8,355.0,227.7,55.0,39.2,,,188.0
13.6,13.2,269.0,228.6,37.0,39.1,,,193.0
13.2,13.5,408.0,232.4,54.0,39.4,,,197.0
9.8,13.0,325.0,234.2,32.0,39.3,,,203.0
14.3,13.7,331.0,236.2,47.0,39.4,,,207.0
15.2,13.7,322.0,237.9,49.0,39.6,,,212.0
14.6,14.0,362.0,240.2,53.0,39.9,,,216.0
17.9,14.7,244.0,240.3,44.0,39.9,,,219.0
17.4,15.7,277.0,241.0,48.0,40.1,,,223.0
17.2,16.6,306.0,242.2,53.0,40.3,,,226.0
48.4,17.5,65.0,239.0,31.0,40.2,,,227.0
19.7,18.3,306.0,240.2,60.0,40.5,,,231.0
11.8,18.1,252.0,240.4,30.0,40.3,,,235.0
22.7,19.9,335.0,242.0,76.0,40.9,,,238.0
15.5,19.3,317.0,243.2,49.0,41.1,,,242.0
13.9,16.4,330.0,244.7,46.0,41.1,,,247.0
12.8,14.1,305.0,245.6,39.0,41.1,,,251.0
17.9,15.7,331.0,247.0,59.0,41.4,,,254.0
17.4,15.6,232.0,246.8,40.0,41.4,,,258.0
15.5,15.6,195.0,246.0,30.0,41.2,,,262.0
16.9,16.6,258.0,246.2,43.0,41.2,,,265.0
15.5,16.6,324.0,247.3,50.0,41.4,,,270.0
16.7,16.3,372.0,249.1,62.0,41.7,,,273.0
12.6,15.9,312.0,250.1,39.0,41.6,,,278.0
18.8,16.3,215.0,249.6,40.0,41.6,,,280.0
13.3,15.1,305.0,250.3,40.0,41.6,,,285.0
12.5,14.2,308.0,251.1,38.0,41.5,,,290.0
16.3,14.1,351.0,252.5,57.0,41.7,,,294.0
16.0,15.2,236.0,252.3,38.0,41.7,,,297.0
12.6,13.9,267.0,252.5,34.0,41.6,,,302.0
12.2,13.7,271.0,253.3,33.0,41.6,,,307.0
12.1,13.6,565.0,260.3,68.0,42.5,,,314.0
10.6,12.3,243.0,261.6,26.0,42.5,,,318.0
16.3,12.3,314.0,264.0,51.0,42.9,,,322.0
12.4,12.2,394.0,267.8,49.0,43.3,,,326.0
15.8,13.4,288.0,269.5,45.0,43.6,,,330.0
13.6,13.9,385.0,271.8,53.0,43.9,,,335.0
11.5,13.9,257.0,273.4,30.0,44.1,,,340.0
16.1,13.9,319.0,276.3,51.0,44.6,,,343.0
15.3,14.9,303.0,278.6,46.0,44.9,,,347.0
16.7,15.0,348.0,282.1,58.0,45.4,,,351.0
11.4,14.3,274.0,285.3,31.0,45.8,,,356.0
16.9,16.0,374.0,289.8,63.0,46.5,,,360.0
22.1,16.3,157.0,289.8,35.0,46.6,,,362.0
15.3,16.3,323.0,292.3,49.0,47.0,,,366.0
15.5,15.9,307.0,292.5,47.0,47.0,,,370.0
18.1,16.8,321.0,294.7,58.0,47.6,,,374.0
17.4,17.0,296.0,296.6,52.0,48.0,,,377.0
26.8,17.0,154.0,294.7,41.0,47.9,,,379.0
16.9,17.5,503.0,299.5,85.0,48.8,,,383.0
14.6,17.5,365.0,302.7,53.0,49.2,,,387.0
18.1,17.5,525.0,307.6,95.0,50.2,,,390.0
12.9,16.5,387.0,310.6,50.0,50.6,,,395.0
16.9,16.1,366.0,313.6,62.0,51.1,,,398.0
17.9,16.4,327.0,315.5,58.0,51.5,,,402.0
21.1,17.6,343.0,315.8,72.0,51.8,,,405.0
17.6,17.5,329.0,318.0,58.0,52.2,,,408.0
14.7,17.5,341.0,320.5,50.0,52.6,,,412.0
18.8,18.1,432.0,322.0,81.0,53.0,,,415.0
22.1,19.2,312.0,321.8,69.0,53.2,,,418.0
14.3,17.0,470.0,323.7,67.0,53.4,,,422.0
15.3,16.3,284.0,320.3,43.0,52.1,,,426.0
65.2,18.7,75.0,320.5,49.0,52.2,,,427.0
19.0,18.8,336.0,320.7,64.0,52.3,,,430.0
14.3,16.2,328.0,321.0,47.0,52.4,,,434.0
14.7,16.3,283.0,320.6,42.0,52.3,,,439.0
17.9,17.2,334.0,319.2,60.0,52.4,,,442.0
19.7,17.2,355.0,319.0,70.0,52.8,,,445.0
16.0,16.2,343.0,318.0,55.0,52.6,,,448.0
19.2,17.7,387.0,317.3,74.0,52.9,,,452.0
13.3,17.7,589.0,319.6,78.0,53.2,,,456.0
10.8,16.2,230.0,321.0,25.0,50.8,,,462.0
17.2,15.5,390.0,320.9,67.0,50.9,,,465.0
15.2,15.2,337.0,321.9,51.0,51.0,,,469.0
17.4,15.2,345.0,322.4,60.0,51.1,,,473.0
18.3,16.6,347.0,322.4,63.0,51.4,,,476.0
16.5,17.1,405.0,322.6,67.0,51.6,,,480.0
17.2,17.1,330.0,322.7,57.0,51.6,,,483.0
17.4,17.4,366.0,322.4,64.0,51.8,,,486.0
16.7,17.1,275.0,321.4,46.0,51.7,,,490.0
18.5,17.1,415.0,323.3,77.0,52.2,,,493.0
15.0,17.1,383.0,322.9,57.0,52.3,,,497.0
27.8,17.5,53.0,319.6,15.0,51.8,,,500.0
21.7,19.0,488.0,321.7,106.0,52.5,,,502.0
17.6,19.3,417.0,322.8,74.0,53.0,,,506.0
17.9,19.1,380.0,323.4,68.0,53.2,,,509.0
17.2,19.1,400.0,324.4,69.0,53.5,,,512.0
15.0,17.6,394.0,324.8,59.0,53.6,,,517.0
16.7,17.2,398.0,326.7,66.0,53.8,,,520.0
16.3,16.7,375.0,327.9,61.0,54.0,,,524.0
16.3,16.4,349.0,331.7,57.0,54.3,,,528.0
17.2,16.4,443.0,333.4,76.0,54.5,,,531.0
14.7,16.4,367.0,333.8,54.0,54.5,,,535.0
17.2,16.6,351.0,335.0,61.0,54.6,,,539.0
18.3,16.9,347.0,335.2,63.0,54.8,,,542.0
17.2,17.2,407.0,336.3,70.0,55.0,,,545.0
14.7,16.4,521.0,338.7,77.0,55.4,,,549.0
17.6,17.4,227.0,337.7,40.0,55.4,,,553.0
17.4,17.4,408.0,338.6,71.0,55.6,,,556.0
20.3,17.4,416.0,340.9,84.0,56.1,,,559.0
18.8,17.9,483.0,344.5,91.0,56.9,,,562.0
17.4,17.9,420.0,346.5,73.0,57.2,,,566.0
17.6,17.9,407.0,347.2,72.0,57.4,,,569.0
17.6,18.0,419.0,348.4,74.0,57.7,,,573.0
17.2,17.6,360.0,348.2,62.0,57.7,,,576.0
17.6,17.6,408.0,349.4,72.0,58.1,,,580.0
17.9,17.6,391.0,351.5,70.0,58.5,,,583.0
17.4,17.6,386.0,352.5,67.0,58.8,,,586.0
15.6,17.4,548.0,355.5,86.0,59.4,,,590.0
16.1,17.1,346.0,355.4,56.0,59.4,,,594.0
18.8,17.1,382.0,355.7,72.0,59.5,,,597.0
17.6,17.1,397.0,357.7,70.0,59.9,,,601.0
19.2,17.5,221.0,357.1,43.0,60.0,,,603.0
21.1,18.5,495.0,358.7,105.0,60.5,,,606.0
18.3,18.8,381.0,360.0,70.0,61.0,,,610.0
20.8,19.5,396.0,360.5,82.0,61.2,,,612.0
20.5,20.2,394.0,358.5,81.0,61.4,,,616.0
18.8,20.0,458.0,361.0,86.0,62.1,,,619.0
17.9,19.2,554.0,363.8,99.0,62.7,,,622.0
21.1,20.0,288.0,362.9,61.0,62.6,,,625.0
21.4,20.1,567.0,364.9,122.0,63.5,,,628.0
17.6,19.2,703.0,369.8,124.0,64.4,,,631.0
13.8,18.9,405.0,370.0,56.0,64.4,,,635.0
19.7,19.5,467.0,371.1,92.0,64.8,,,639.0
17.9,18.4,476.0,373.6,85.0,65.4,,,642.0
18.3,17.9,295.0,373.4,54.0,65.4,,,645.0
20.5,18.6,596.0,376.7,122.0,66.3,,,648.0
20.0,19.3,529.0,378.8,106.0,66.9,,,651.0
18.3,18.9,550.0,380.8,101.0,67.2,,,654.0
19.7,19.3,506.0,383.4,100.0,68.0,,,657.0
20.0,19.9,488.0,384.7,98.0,68.4,,,660.0
18.8,19.5,512.0,388.7,96.0,69.1,,,664.0
20.3,19.5,558.0,391.4,113.0,69.8,,,666.0
20.5,20.0,452.0,392.1,93.0,70.1,,,669.0
22.1,20.3,465.0,393.8,103.0,70.7,,,672.0
18.8,19.9,710.0,398.2,133.0,71.6,,,675.0
18.3,19.9,502.0,400.5,92.0,72.0,,,678.0
22.4,20.5,524.0,404.7,117.0,72.9,,,681.0
21.7,20.8,515.0,404.8,112.0,73.2,,,684.0
21.7,20.7,624.0,407.7,136.0,74.1,,,687.0
22.1,21.8,528.0,409.1,116.0,74.6,,,690.0
22.4,22.1,400.0,407.7,90.0,74.5,,,692.0
19.5,21.8,461.0,408.5,90.0,75.0,,,695.0
19.7,21.2,821.0,413.6,162.0,76.1,,,698.0
20.8,20.9,439.0,413.8,91.0,76.2,,,701.0
23.4,21.0,479.0,415.5,112.0,76.8,,,704.0
22.7,21.1,532.0,417.6,121.0,77.4,,,707.0
24.2,22.3,472.0,419.2,114.0,78.0,,,709.0
25.0,23.5,548.0,420.6,137.0,78.6,,,711.0
22.1,23.5,516.0,422.5,114.0,79.3,,,714.0
21.7,23.0,702.0,425.4,153.0,80.1,,,717.0
22.1,22.8,450.0,426.9,99.0,80.4,,,719.0
