BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
11.7,10.5,236.0,236.0,28.0,28.0,,,2.0
13.4,12.7,106.0,171.0,14.0,21.0,,,7.0
19.7,13.4,111.0,151.0,22.0,21.3,,,10.0
15.3,14.2,91.0,136.0,14.0,19.5,,,14.0
13.4,14.0,433.0,195.4,58.0,27.2,,,19.0
8.5,14.0,24.0,166.8,2.0,23.0,,,25.0
27.3,16.1,79.0,154.3,22.0,22.9,,,27.0
9.1,12.6,111.0,148.9,10.0,21.2,,,34.0
19.0,13.8,148.0,148.8,28.0,22.0,,,38.0
9.3,12.5,79.0,141.8,7.0,20.5,,,44.0
12.9,13.7,138.0,141.5,18.0,20.3,,,49.0
9.0,10.4,145.0,141.8,13.0,19.7,,,50.0
8.0,10.4,211.0,147.1,17.0,19.5,,,58.0
11.2,9.8,81.0,142.4,9.0,18.7,,,63.0
9.6,9.9,104.0,139.8,10.0,18.1,,,70.0
10.7,9.8,82.0,136.2,9.0,17.6,,,75.0
11.4,10.5,72.0,132.4,8.0,17.0,,,80.0
13.0,11.1,114.0,131.4,15.0,16.9,,,85.0
15.6,11.7,110.0,130.3,17.0,16.9,,,88.0
14.9,13.1,138.0,130.6,20.0,17.0,,,93.0
13.2,13.7,162.0,132.1,21.0,17.2,,,97.0
12.1,13.7,118.0,131.5,14.0,17.1,,,102.0
10.7,13.4,221.0,135.4,24.0,17.4,,,108.0
10.7,12.0,159.0,136.4,17.0,17.4,,,113.0
11.5,11.4,74.0,133.9,8.0,17.0,,,119.0
11.5,11.2,160.0,134.9,18.0,17.0,,,132.0
14.3,11.2,140.0,135.1,20.0,17.1,,,136.0
12.6,11.9,72.0,132.8,9.0,16.9,,,140.0
39.5,12.8,314.0,139.1,124.0,20.6,,,144.0
18.8,15.2,90.0,137.4,17.0,20.4,,,145.0
27.3,20.1,158.0,138.1,43.0,21.2,,,147.0
15.2,20.4,270.0,142.2,41.0,21.8,,,152.0
15.6,20.5,291.0,146.7,45.0,22.5,,,155.0
11.5,16.5,271.0,150.4,31.0,22.7,,,161.0
14.6,15.1,186.0,151.4,27.0,22.9,,,165.0
71.4,15.1,66.0,149.0,47.0,23.5,,,165.0
14.4,14.9,285.0,152.7,41.0,24.0,,,170.0
14.4,14.5,195.0,153.8,28.0,24.1,,,174.0
17.2,15.4,253.0,156.4,44.0,24.6,,,177.0
15.6,15.8,211.0,157.7,33.0,24.8,,,181.0
16.9,15.6,290.0,161.0,49.0,25.4,,,185.0
14.9,15.8,258.0,163.3,38.0,25.7,,,189.0
14.2,15.8,216.0,164.5,31.0,25.8,,,193.0
17.9,15.8,267.0,166.8,48.0,26.3,,,196.0
18.1,16.5,352.0,170.9,64.0,27.2,,,200.0
13.9,15.6,337.0,174.5,47.0,27.6,,,204.0
16.1,16.0,337.0,178.0,54.0,28.2,,,208.0
17.9,17.3,259.0,179.7,46.0,28.5,,,211.0
17.4,17.1,251.0,181.1,44.0,28.9,,,215.0
19.7,17.1,263.0,182.8,52.0,29.3,,,218.0
15.8,17.1,207.0,183.3,33.0,29.4,,,221.0
21.7,18.3,315.0,185.8,68.0,30.1,,,224.0
19.2,18.8,156.0,185.2,30.0,30.1,,,227.0
19.5,19.5,479.0,190.7,93.0,31.3,,,232.0
14.7,18.2,329.0,193.2,48.0,31.6,,,234.0
