t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,VT/Ti,PaCO2_e,RealPower
0.0,11.19,1.585,17.743,1347,675.7339506,544.2675151,0.81,259.1,59.4,25.1,31.2,7.91,2.3,16.35,3.75,14.94,4.86,20.74,0.06,117,27,107,35,,,,NONE,20.2,53,655,765,4657,194.0,3.23,0,54.5,0,3092,1565,0,66.4,33.6,0.81,0,1.75,3.61,5.36,0.33,0.23,1.249,0,0,0,,21,90.2,0.91,36.9,
4.0,12.61,2.164,27.277,2174,929.8691579,824.2407788,0.89,361.8,79.9,28.4,32.0,10.88,3.1,16.72,3.69,15.34,4.89,20.72,0.06,120,27,110,35,0.0,,0.0,REST,20.2,53,655,765,6528,272.0,4.53,0,76.4,0,2531,3997,0,38.8,61.2,0.89,0,1.97,2.79,4.76,0.41,0.25,1.436,4,0,0,,29,84.9,1.1,37.09,0.0
7.0,20.69,1.206,24.952,1156,819.1742057,729.0215294,0.89,203.5,43.2,28.7,32.2,9.59,2.7,16.87,3.58,15.6,4.79,20.73,0.07,121,26,112,34,0.0,,0.0,REST,20.2,53,655,765,5755,239.8,4.0,0,67.4,0,2162,3594,0,37.6,62.4,0.89,0,1.16,1.74,2.9,0.4,0.24,1.397,3,0,0,,25,86.2,1.04,36.45,0.0
11.0,15.71,1.043,16.382,1126,518.4473269,469.9494539,0.91,177.1,36.8,29.5,32.5,6.07,1.7,16.98,3.53,15.79,4.62,20.71,0.08,122,25,113,33,0.0,,0.0,REST,20.2,53,655,765,3656,152.3,2.54,1,42.8,0,1167,2489,0,31.9,68.1,0.91,0,1.3,2.52,3.82,0.34,0.22,1.214,4,0,0,,16,91.0,0.8,35.35,0.0
14.0,16.76,0.877,14.698,928,474.6897708,426.4515985,0.9,148.3,31.2,28.5,31.7,5.56,1.6,16.91,3.56,15.69,4.64,20.71,0.07,121,26,113,33,0.0,,0.0,REST,20.2,53,655,765,3341,139.2,2.32,1,39.1,0,1159,2182,0,34.7,65.3,0.9,0,1.41,2.17,3.58,0.39,0.2,1.167,3,0,0,,15,91.9,0.62,35.48,0.0
23.0,7.28,4.111,29.934,3775,854.5231397,880.4586276,1.03,711.5,147.8,34.4,33.4,10.0,2.9,17.31,3.6,16.17,4.57,20.76,0.06,124,26,116,33,0.0,,0.0,REST,20.2,53,655,765,6194,258.1,4.3,1,72.5,0,0,6194,0,0.0,100.0,1.03,0,2.24,6.0,8.24,0.27,0.25,1.476,9,0,0,,26,83.5,1.84,35.02,0.0
31.0,10.19,0.98,9.983,833,308.8043755,284.8526117,0.92,167.5,34.2,30.0,32.5,3.61,1.0,17.09,3.49,15.65,4.73,20.75,0.06,123,25,112,34,0.0,,0.0,REST,20.2,53,655,765,2185,91.1,1.52,2,25.6,0,579,1607,0,26.5,73.5,0.92,0,1.27,4.62,5.89,0.22,0.23,0.999,8,0,0,,9,94.5,0.77,36.06,0.0
34.0,16.04,0.912,14.631,1222,438.4237147,389.1923974,0.89,156.7,29.8,30.8,34.7,5.13,1.5,17.18,3.27,16.18,4.3,20.7,0.07,123,23,116,31,0.0,,0.0,REST,20.2,53,655,765,3079,128.3,2.14,2,36.0,0,1180,1899,0,38.3,61.7,0.89,0,1.87,1.87,3.74,0.5,0.22,1.165,3,0,0,,13,91.9,0.49,33.28,0.0
41.0,9.42,1.878,17.689,1479,590.1785079,545.1852505,0.92,315.0,70.7,28.9,31.2,6.91,2.0,16.77,3.76,15.23,5.0,20.72,0.06,120,27,109,36,0.0,,0.0,REST,20.2,53,655,765,4178,174.1,2.9,2,48.9,0,1087,3091,0,26.0,74.0,0.92,0,1.42,4.95,6.37,0.22,0.25,1.248,7,0,0,,18,90.2,1.32,37.81,0.0
45.0,14.49,0.759,11.0,700,360.2185603,313.0885342,0.87,128.2,26.5,27.7,31.9,4.22,1.2,16.89,3.49,15.67,4.61,20.72,0.07,121,25,113,33,0.0,,0.0,REST,20.2,53,655,765,2519,105.0,1.75,2,29.5,0,1125,1394,0,44.7,55.3,0.87,0,1.45,2.69,4.14,0.35,0.2,1.041,4,0,0,,11,93.9,0.52,35.29,0.0
54.0,6.67,1.907,12.713,1451,496.48514,435.1652853,0.88,308.1,79.8,24.7,28.1,5.81,1.7,16.16,4.18,14.67,5.28,20.73,0.07,116,30,105,38,0.0,,0.0,REST,20.2,53,655,765,3478,144.9,2.41,2,40.7,0,1466,2012,0,42.2,57.8,0.88,0,1.98,7.02,9.0,0.22,0.2,1.104,9,0,0,,15,93.0,0.96,39.62,0.0
60.0,9.27,2.251,20.875,2252,703.0823854,639.1784014,0.91,377.9,84.2,28.8,31.6,8.23,2.4,16.79,3.74,15.53,4.76,20.76,0.06,121,27,112,34,0.0,,0.0,REST,20.2,53,655,765,4961,206.7,3.45,3,58.1,0,1539,3422,0,31.0,69.0,0.91,0,2.45,4.02,6.47,0.38,0.23,1.32,6,0,0,,22,88.5,0.92,36.25,0.0
66.0,11.09,1.075,11.922,975,381.5461482,346.503164,0.91,182.5,38.2,29.2,32.2,4.47,1.3,16.98,3.55,15.68,4.68,20.75,0.06,122,26,113,34,0.0,,0.0,REST,20.2,53,655,765,2692,112.2,1.87,3,31.5,0,844,1848,0,31.3,68.7,0.91,0,1.51,3.9,5.41,0.28,0.22,1.076,6,0,0,,12,93.4,0.71,35.74,0.0
72.0,9.24,1.033,9.55,996,327.9298427,291.3385105,0.89,172.7,38.5,27.1,30.6,3.84,1.1,16.72,3.73,15.44,4.83,20.75,0.06,120,27,111,35,0.0,,0.0,REST,20.2,53,655,765,2303,96.0,1.6,3,27.0,0,877,1426,0,38.1,61.9,0.89,0,2.22,4.27,6.49,0.34,0.2,0.98,6,0,0,,10,94.7,0.47,36.71,0.0
77.0,12.22,0.731,8.933,744,305.516592,258.0829502,0.84,122.6,25.9,26.4,31.3,3.58,1.0,16.77,3.54,15.34,4.74,20.75,0.07,120,25,110,34,0.0,,0.0,REST,20.2,53,656,765,2125,88.5,1.48,3,24.9,0,1126,999,0,53.0,47.0,0.84,0,1.33,3.58,4.91,0.27,0.2,0.951,5,0,0,,9,95.1,0.55,36.13,0.0
82.0,12.45,0.746,9.286,720,331.2438106,273.1429071,0.82,123.9,26.9,25.4,30.8,3.88,1.1,16.61,3.61,14.88,4.98,20.74,0.07,119,26,107,36,0.0,,0.0,REST,20.2,53,656,765,2293,95.5,1.59,3,26.8,0,1373,920,0,59.9,40.1,0.82,0,1.77,3.05,4.82,0.37,0.22,0.968,5,0,0,,10,94.9,0.42,37.68,0.0
86.0,15.08,0.981,14.789,975,532.9320812,440.3395662,0.83,162.5,35.8,25.8,31.2,6.24,1.8,16.56,3.65,15.14,4.82,20.74,0.07,119,26,109,35,0.0,,0.0,REST,20.2,53,655,765,3690,153.8,2.56,4,43.2,0,2188,1502,0,59.3,40.7,0.83,0,1.49,2.49,3.98,0.37,0.21,1.17,4,0,0,,16,91.8,0.66,36.64,0.0
90.0,16.3,1.018,16.598,1018,572.9511273,493.5343052,0.86,169.7,37.1,27.0,31.3,6.71,1.9,16.67,3.64,15.23,4.87,20.7,0.07,120,26,109,35,0.0,,0.0,REST,20.2,53,655,765,3999,166.6,2.78,4,46.8,0,1892,2107,0,47.3,52.7,0.86,0,1.36,2.32,3.68,0.37,0.22,1.22,4,0,0,,18,90.8,0.75,36.97,0.0
94.0,13.19,1.462,19.279,1439,661.0207348,587.7449535,0.89,244.5,54.6,27.8,31.2,7.74,2.2,16.72,3.73,15.57,4.75,20.75,0.07,120,27,112,34,0.0,,0.0,REST,20.2,53,656,765,4643,193.5,3.22,4,54.3,0,1757,2887,0,37.8,62.2,0.89,0,1.76,2.79,4.55,0.39,0.21,1.285,4,0,0,,20,89.4,0.83,36.19,0.0
100.0,10.93,1.746,19.082,1521,630.1316656,592.6129833,0.94,293.5,66.4,29.1,30.9,7.37,2.1,16.81,3.8,15.52,4.9,20.73,0.07,121,27,111,35,0.0,,0.0,REST,20.2,53,656,765,4478,186.6,3.11,4,52.4,0,910,3568,0,20.3,79.7,0.94,0,1.45,4.04,5.49,0.26,0.23,1.281,6,0,0,,19,89.5,1.2,37.16,0.0
104.0,14.74,1.162,17.13,1127,531.4586552,498.9996845,0.94,198.1,41.5,30.3,32.3,6.22,1.8,17.05,3.57,15.81,4.68,20.73,0.07,122,26,114,34,0.0,,0.0,REST,20.2,53,656,765,3775,157.3,2.62,4,44.2,0,787,2988,0,20.8,79.2,0.94,0,1.34,2.73,4.07,0.33,0.22,1.234,4,0,0,,16,90.5,0.87,35.74,0.0
110.0,9.35,2.394,22.374,2377,625.9609047,644.3164927,1.03,416.0,84.3,34.7,33.7,7.33,2.1,17.38,3.52,16.45,4.38,20.76,0.06,125,25,118,31,0.0,,0.0,REST,20.2,53,656,765,4536,189.0,3.15,5,53.1,0,0,4536,0,0.0,100.0,1.03,0,2.64,3.78,6.42,0.41,0.22,1.35,6,0,0,,19,87.6,0.91,33.8,0.0
116.0,10.29,1.812,18.648,1565,484.7962497,520.7238624,1.07,318.5,61.9,37.0,34.4,5.67,1.6,17.58,3.42,16.54,4.38,20.75,0.06,126,25,119,31,0.0,,0.0,REST,20.2,53,656,765,3547,147.8,2.46,5,41.5,0,0,3547,0,0.0,100.0,1.07,0,1.94,3.89,5.83,0.33,0.24,1.271,6,0,0,,15,89.7,0.93,33.8,0.0
