BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
6.6,17.6,368.0,368.0,24.0,24.0,,,7.0
11.5,16.7,450.0,409.0,52.0,38.0,,,12.0
10.9,13.6,435.0,417.7,47.0,41.0,,,17.0
9.6,10.6,260.0,378.2,25.0,37.0,,,24.0
10.6,10.3,277.0,358.0,29.0,35.4,,,29.0
10.9,10.8,298.0,348.0,33.0,35.0,,,35.0
9.8,10.4,271.0,337.0,27.0,33.9,,,41.0
9.3,10.0,206.0,320.6,19.0,32.0,,,47.0
11.8,10.4,282.0,316.3,33.0,32.1,,,52.0
12.0,10.9,115.0,296.2,14.0,30.3,,,58.0
11.4,11.0,269.0,293.7,31.0,30.4,,,63.0
10.0,11.1,155.0,282.2,16.0,29.2,,,69.0
9.7,11.1,272.0,281.4,26.0,28.9,,,75.0
22.1,11.1,43.0,264.4,9.0,27.5,,,78.0
32.6,14.5,65.0,251.1,21.0,27.1,,,79.0
33.3,21.6,298.0,254.0,99.0,31.6,,,82.0
11.2,22.0,144.0,247.5,16.0,30.6,,,87.0
6.9,22.0,442.0,258.3,30.0,30.6,,,96.0
9.0,17.6,261.0,258.5,23.0,30.2,,,102.0
10.0,10.1,147.0,252.9,15.0,29.4,,,108.0
25.9,10.1,33.0,242.4,9.0,28.5,,,111.0
25.9,14.9,29.0,232.7,8.0,27.5,,,113.0
35.7,20.6,41.0,224.4,15.0,27.0,,,114.0
25.4,25.7,377.0,230.8,96.0,29.9,,,118.0
9.4,25.7,120.0,226.3,11.0,29.1,,,123.0
28.3,26.5,90.0,221.1,25.0,29.0,,,128.0
18.8,24.2,207.0,220.6,39.0,29.3,,,131.0
22.1,22.1,72.0,215.2,16.0,28.9,,,134.0
35.7,23.0,99.0,211.2,35.0,29.1,,,135.0
22.1,24.1,561.0,222.9,124.0,32.2,,,140.0
7.9,21.0,78.0,218.2,6.0,31.4,,,146.0
68.2,26.6,113.0,214.9,77.0,32.8,,,147.0
71.4,42.0,47.0,209.8,34.0,32.8,,,148.0
78.9,53.9,80.0,206.0,63.0,33.7,,,149.0
75.0,71.5,85.0,202.6,64.0,34.6,,,149.0
75.0,73.8,70.0,198.9,53.0,35.1,,,150.0
75.0,75.0,80.0,195.7,60.0,35.8,,,151.0
71.4,75.0,87.0,192.8,62.0,36.5,,,152.0
78.9,75.0,80.0,189.9,63.0,37.2,,,152.0
12.4,73.8,313.0,193.0,39.0,37.2,,,160.0
15.2,53.9,276.0,195.0,42.0,37.3,,,164.0
17.9,34.8,127.0,193.4,23.0,37.0,,,167.0
33.3,22.1,229.0,194.2,76.0,37.9,,,169.0
14.0,15.7,581.0,203.0,81.0,38.9,,,174.0
12.6,15.7,400.0,207.4,50.0,39.1,,,178.0
13.5,15.1,253.0,208.4,34.0,39.0,,,182.0
16.3,14.6,309.0,210.5,50.0,39.2,,,186.0
12.7,13.4,403.0,214.5,51.0,39.5,,,191.0
24.6,14.2,45.0,211.1,11.0,38.9,,,193.0
13.6,14.5,376.0,214.4,51.0,39.1,,,195.0
14.6,14.8,299.0,216.0,44.0,39.2,,,199.0
17.9,15.4,408.0,219.7,73.0,39.9,,,203.0
16.0,16.1,377.0,222.7,60.0,40.3,,,206.0
18.3,16.1,451.0,226.9,83.0,41.1,,,210.0
13.0,16.1,350.0,229.2,46.0,41.1,,,214.0
16.9,16.9,294.0,230.3,50.0,41.3,,,218.0
18.3,17.0,330.0,232.1,60.0,41.6,,,221.0
19.5,17.8,441.0,235.7,86.0,42.4,,,224.0
14.0,16.4,343.0,237.5,48.0,42.5,,,229.0
16.3,17.2,377.0,239.8,61.0,42.8,,,232.0
23.1,18.0,351.0,241.6,81.0,43.4,,,235.0
19.2,18.3,352.0,243.4,68.0,43.8,,,238.0
18.8,18.1,293.0,244.2,55.0,44.0,,,241.0
75.0,20.4,88.0,241.8,66.0,44.3,,,242.0
20.5,21.0,288.0,242.5,59.0,44.6,,,245.0
22.7,20.8,343.0,244.0,78.0,45.1,,,247.0
78.9,39.4,102.0,241.9,81.0,45.6,,,248.0
78.9,58.9,143.0,240.4,113.0,46.6,,,249.0
38.5,46.7,116.0,238.6,45.0,46.6,,,250.0
27.3,48.2,332.0,240.0,91.0,47.2,,,253.0
23.4,48.2,341.0,241.4,80.0,47.7,,,255.0
21.1,29.7,339.0,242.7,72.0,48.0,,,258.0
24.2,25.0,377.0,244.6,91.0,48.6,,,261.0
23.8,23.8,707.0,250.8,168.0,50.2,,,264.0
17.0,22.8,371.0,252.4,63.0,50.4,,,267.0
24.2,23.0,240.0,252.3,58.0,50.5,,,269.0
26.8,24.1,259.0,252.4,69.0,50.7,,,271.0
25.4,24.5,272.0,252.6,69.0,51.0,,,274.0
22.4,24.0,255.0,252.6,57.0,51.0,,,276.0
32.6,25.5,52.0,250.1,17.0,50.6,,,278.0
36.6,28.3,559.0,253.9,205.0,52.5,,,281.0
19.2,26.8,327.0,254.8,63.0,52.6,,,283.0
24.2,26.4,190.0,254.0,46.0,52.6,,,286.0
26.3,27.7,226.0,253.7,59.0,52.6,,,288.0
25.9,25.5,315.0,254.4,81.0,53.0,,,290.0
25.0,25.0,327.0,255.3,82.0,53.3,,,292.0
25.9,25.6,314.0,256.0,81.0,53.6,,,295.0
26.3,26.0,344.0,257.0,91.0,54.1,,,297.0
25.4,25.7,303.0,257.5,77.0,54.3,,,299.0
22.1,25.4,728.0,262.7,161.0,55.5,,,303.0
16.7,24.4,350.0,263.7,58.0,55.5,,,306.0
17.9,21.8,571.0,265.9,102.0,56.4,,,309.0
20.8,20.2,251.0,265.7,52.0,56.3,,,312.0
25.0,20.2,349.0,264.6,87.0,56.7,,,314.0
22.1,20.2,262.0,262.8,58.0,56.8,,,317.0
21.4,21.4,333.0,263.5,71.0,57.0,,,320.0
15.3,21.4,706.0,268.3,108.0,57.9,,,324.0
17.2,20.2,235.0,267.9,41.0,57.7,,,327.0
23.4,20.2,333.0,268.5,78.0,58.2,,,330.0
24.2,20.7,323.0,269.1,78.0,58.4,,,332.0
25.0,21.6,281.0,269.2,70.0,58.6,,,335.0
26.8,24.2,272.0,269.0,73.0,59.0,,,337.0
25.0,24.7,321.0,269.5,80.0,59.2,,,339.0
23.1,24.7,286.0,269.7,66.0,59.6,,,342.0
22.4,24.4,335.0,270.3,75.0,59.7,,,345.0
24.2,24.1,363.0,271.3,88.0,60.0,,,347.0
17.2,23.2,292.0,272.1,50.0,60.3,,,351.0
20.0,21.8,271.0,272.0,54.0,60.6,,,354.0
