BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
8.7,9.3,334.0,334.0,29.0,29.0,,,0.0
11.7,10.3,272.0,303.0,32.0,30.5,,,5.0
7.8,9.3,270.0,292.0,21.0,27.3,,,13.0
9.6,9.2,200.0,269.0,19.0,25.2,,,19.0
6.9,8.7,677.0,350.6,47.0,29.6,,,29.0
10.5,9.3,371.0,354.0,39.0,31.2,,,34.0
10.7,9.3,110.0,319.1,12.0,28.4,,,40.0
8.3,9.4,191.0,303.1,16.0,26.9,,,46.0
12.2,9.8,177.0,289.1,22.0,26.3,,,52.0
8.2,9.8,69.0,267.1,6.0,24.3,,,59.0
11.4,10.1,191.0,260.2,22.0,24.1,,,64.0
7.0,9.3,195.0,254.8,14.0,23.2,,,73.0
4.7,8.9,182.0,249.2,9.0,22.2,,,85.0
12.8,8.9,165.0,243.1,21.0,22.1,,,90.0
10.6,9.7,267.0,244.7,28.0,22.5,,,96.0
10.6,9.4,201.0,242.0,21.0,22.4,,,101.0
10.6,10.6,294.0,245.1,31.0,22.9,,,107.0
5.6,10.6,341.0,250.4,19.0,22.7,,,117.0
18.5,10.6,268.0,251.3,50.0,24.1,,,121.0
25.9,13.2,74.0,242.4,19.0,23.8,,,123.0
27.8,18.3,108.0,236.0,30.0,24.1,,,125.0
78.9,24.1,43.0,227.3,34.0,24.6,,,126.0
68.2,40.6,67.0,220.3,46.0,25.5,,,127.0
60.0,52.0,106.0,215.5,64.0,27.1,,,128.0
62.5,63.6,127.0,212.0,79.0,29.2,,,129.0
35.7,63.6,156.0,209.8,56.0,30.2,,,130.0
16.5,52.7,346.0,214.9,57.0,31.2,,,135.0
27.8,41.2,315.0,218.5,88.0,33.2,,,136.0
18.3,27.3,373.0,223.8,68.0,34.4,,,140.0
18.1,21.4,178.0,222.3,32.0,34.4,,,143.0
12.3,17.6,703.0,237.8,86.0,36.0,,,149.0
11.3,16.2,377.0,242.1,43.0,36.2,,,153.0
18.1,16.1,505.0,250.1,91.0,37.9,,,156.0
12.7,14.4,539.0,258.6,69.0,38.8,,,161.0
13.2,12.7,450.0,264.1,59.0,39.4,,,166.0
16.3,14.1,410.0,268.1,67.0,40.2,,,169.0
20.0,15.8,686.0,279.4,137.0,42.8,,,172.0
13.8,14.4,469.0,284.4,65.0,43.4,,,177.0
20.3,16.7,358.0,286.3,73.0,44.1,,,180.0
18.8,18.4,468.0,290.8,88.0,45.2,,,183.0
17.0,18.6,596.0,298.3,102.0,46.6,,,187.0
17.6,17.8,454.0,302.0,80.0,47.4,,,190.0
18.5,18.3,522.0,307.1,97.0,48.6,,,193.0
20.8,18.3,397.0,309.1,83.0,49.3,,,196.0
21.7,19.0,568.0,314.9,123.0,51.0,,,199.0
17.6,19.0,709.0,323.5,125.0,52.6,,,202.0
17.2,19.0,457.0,326.3,79.0,53.1,,,206.0
24.6,20.1,477.0,329.4,117.0,54.5,,,208.0
19.7,19.7,667.0,336.3,132.0,56.1,,,211.0
25.0,20.7,345.0,336.5,86.0,56.7,,,213.0
18.1,20.8,734.0,344.3,133.0,58.2,,,217.0
23.4,22.6,356.0,344.5,83.0,58.6,,,219.0
22.7,22.0,429.0,346.1,98.0,59.4,,,222.0
23.1,23.1,450.0,348.0,104.0,60.2,,,225.0
25.9,23.1,423.0,349.4,109.0,61.1,,,227.0
28.3,24.1,387.0,350.1,110.0,62.0,,,229.0
25.4,24.8,722.0,356.6,184.0,64.1,,,231.0
26.8,26.0,342.0,356.3,92.0,64.6,,,234.0
33.3,27.0,361.0,356.4,120.0,65.5,,,235.0
22.7,26.8,636.0,361.1,145.0,66.8,,,238.0
19.5,25.0,725.0,367.0,141.0,68.1,,,241.0
23.1,24.2,383.0,367.3,88.0,68.4,,,244.0
27.3,24.4,521.0,369.7,142.0,69.6,,,246.0
23.8,23.2,412.0,370.4,98.0,70.0,,,249.0
34.1,24.7,309.0,369.5,105.0,70.5,,,250.0
28.8,26.6,587.0,372.8,169.0,72.0,,,252.0
25.0,27.0,452.0,373.9,113.0,72.6,,,255.0
31.9,28.6,328.0,373.3,105.0,73.1,,,257.0
28.3,29.7,579.0,376.2,164.0,74.4,,,259.0
27.3,28.1,358.0,376.0,98.0,74.8,,,261.0
33.3,29.2,360.0,375.8,120.0,75.4,,,263.0
30.0,30.1,429.0,376.5,129.0,76.2,,,265.0
28.3,28.9,504.0,378.2,143.0,77.1,,,267.0
27.8,28.7,414.0,378.7,115.0,77.6,,,269.0
27.8,28.7,559.0,381.1,155.0,78.6,,,271.0
27.8,28.0,333.0,380.5,93.0,78.8,,,273.0
30.6,28.0,444.0,381.3,136.0,79.5,,,275.0
27.8,27.8,402.0,381.6,112.0,80.0,,,277.0
28.8,28.1,364.0,381.4,105.0,80.3,,,280.0
26.3,28.1,606.0,384.2,159.0,81.3,,,282.0
26.8,27.8,393.0,384.3,105.0,81.6,,,284.0
28.3,27.6,558.0,386.4,158.0,82.5,,,286.0
22.1,27.1,782.0,391.2,173.0,83.6,,,289.0
17.6,25.1,548.0,393.0,97.0,83.7,,,292.0
17.6,22.2,719.0,396.9,127.0,84.2,,,296.0
22.4,20.7,338.0,396.2,76.0,84.2,,,298.0
32.6,20.7,350.0,395.7,114.0,84.5,,,300.0
30.6,23.5,436.0,396.8,133.0,85.7,,,302.0
27.3,26.8,376.0,396.6,103.0,85.9,,,304.0
33.3,30.2,379.0,397.8,126.0,87.0,,,306.0
27.8,30.3,430.0,398.2,119.0,87.3,,,308.0
26.3,28.6,611.0,400.5,161.0,88.1,,,311.0
22.7,27.1,728.0,405.6,165.0,89.7,,,313.0
28.3,27.5,365.0,405.2,103.0,89.9,,,315.0
33.3,27.5,449.0,405.7,150.0,90.5,,,317.0
31.9,28.8,384.0,405.4,123.0,90.9,,,319.0
31.9,30.7,397.0,407.5,127.0,92.0,,,321.0
30.6,31.5,446.0,407.9,137.0,92.5,,,323.0
27.3,31.5,448.0,408.4,122.0,92.8,,,325.0
30.6,31.0,423.0,408.5,129.0,93.2,,,327.0
29.4,30.2,484.0,409.3,142.0,93.7,,,329.0
26.8,29.1,389.0,406.3,104.0,94.3,,,331.0
33.3,29.1,360.0,405.9,120.0,94.6,,,333.0
33.3,31.1,354.0,405.7,118.0,95.4,,,335.0
31.9,31.6,287.0,404.5,92.0,95.3,,,337.0
31.3,32.2,386.0,404.3,121.0,95.6,,,339.0
30.6,32.2,366.0,406.9,112.0,96.6,,,341.0
34.1,32.2,369.0,406.5,126.0,96.9,,,342.0
31.3,31.5,472.0,407.1,148.0,97.4,,,344.0
32.6,31.7,443.0,407.5,144.0,97.8,,,346.0
33.3,32.4,383.0,409.3,128.0,98.9,,,348.0
34.1,33.3,358.0,408.8,122.0,99.1,,,350.0
31.9,32.6,465.0,411.6,148.0,100.4,,,352.0
24.2,32.6,634.0,413.7,153.0,100.9,,,354.0
23.8,29.8,380.0,413.4,90.0,100.8,,,357.0
31.3,29.1,325.0,412.6,102.0,100.8,,,358.0
30.6,28.7,339.0,415.1,104.0,101.7,,,361.0
31.9,28.7,324.0,414.3,103.0,101.7,,,362.0
30.6,30.8,289.0,415.2,88.0,102.3,,,364.0
32.6,31.3,353.0,414.6,115.0,102.4,,,366.0
22.4,31.0,516.0,415.5,116.0,102.5,,,369.0
24.2,28.9,313.0,414.6,76.0,102.3,,,371.0
