t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,VT/Ti,PaCO2_e,RealPower
0.0,26.43,0.793,20.96,992,443.6913202,454.0194799,1.02,143.9,21.1,43.1,42.1,4.76,1.4,18.15,2.66,16.71,4.31,20.71,0.05,130,19,120,31,,,,NONE,18.0,66,651,763,3211,133.8,2.23,0,34.5,0,0,3211,0,0.0,100.0,1.02,0,0.84,1.43,2.27,0.37,0.34,1.321,0,0,0,,11,90.8,0.94,33.27,
3.0,15.35,2.316,35.54,548,1491.9123292,1469.3180559,0.98,361.9,116.8,23.1,23.5,16.01,4.6,15.63,5.04,14.31,6.18,20.67,0.06,112,36,102,44,0.0,,0.0,NONE,18.0,66,651,763,10706,446.1,7.43,0,114.9,0,553,10153,0,5.2,94.8,0.98,0,0.72,3.19,3.91,0.18,0.17,1.551,3,0,0,,37,84.5,3.22,45.32,0.0
8.0,14.18,2.522,35.773,2686,1309.2448417,1239.0633241,0.95,413.3,106.3,26.6,28.1,14.05,4.0,16.39,4.21,15.14,5.44,20.75,0.04,117,30,108,39,0.0,,0.0,NONE,18.0,66,651,763,9315,388.1,6.47,1,100.0,0,1704,7611,0,18.3,81.7,0.95,0,2.35,1.88,4.23,0.56,0.23,1.554,5,0,0,,33,84.4,1.07,40.55,0.0
11.0,16.67,2.397,39.95,2735,1318.3173853,1278.2307453,0.97,402.4,93.4,29.4,30.3,14.15,4.0,16.79,3.9,15.65,5.04,20.74,0.04,120,28,112,36,0.0,,0.0,NONE,18.0,66,651,763,9428,392.8,6.55,1,101.2,0,978,8450,0,10.4,89.6,0.97,0,1.87,1.73,3.6,0.52,0.24,1.602,3,0,0,,33,82.5,1.28,37.97,0.0
14.0,23.72,1.099,26.063,780,783.8101364,737.8139931,0.94,187.7,38.6,31.1,33.1,8.41,2.4,17.08,3.51,15.38,5.19,20.66,0.1,122,25,110,37,0.0,,0.0,NONE,18.0,66,651,763,5571,232.1,3.87,1,59.8,0,1116,4455,0,20.0,80.0,0.94,0,0.88,1.65,2.53,0.35,0.29,1.416,3,0,0,,19,88.6,1.25,38.94,0.0
16.0,22.9,1.199,27.458,1957,730.2930815,676.7611091,0.93,210.7,36.1,35.4,38.2,7.84,2.2,17.57,3.01,15.91,4.82,20.73,0.04,126,22,114,35,0.0,,0.0,NONE,18.0,66,651,763,5173,215.6,3.59,1,55.5,0,1294,3879,0,25.0,75.0,0.93,0,1.76,0.86,2.62,0.67,0.35,1.439,2,0,0,,18,88.0,0.68,36.56,0.0
19.0,29.13,0.985,28.689,1014,790.9460245,739.5693757,0.94,171.9,31.0,33.7,36.0,8.49,2.4,17.45,3.15,15.95,4.78,20.73,0.04,125,23,114,34,0.0,,0.0,NONE,18.0,66,651,763,5613,233.9,3.9,2,60.2,0,1244,4369,0,22.2,77.8,0.94,0,1.1,0.96,2.06,0.53,0.31,1.458,3,0,0,,20,87.5,0.9,36.3,0.0
21.0,30.93,1.184,36.619,241,1464.3556409,1362.1966728,0.93,189.2,53.8,23.5,25.3,15.71,4.5,15.98,4.54,15.11,5.47,20.73,0.06,114,33,108,39,0.0,,0.0,NONE,18.0,66,651,763,10382,432.6,7.21,2,111.4,0,2472,7910,0,23.8,76.2,0.93,0,0.59,1.35,1.94,0.3,0.14,1.564,2,0,0,,36,84.0,2.01,40.75,0.0
24.0,17.05,1.265,21.562,1628,677.2692928,622.5188157,0.92,215.4,44.4,30.1,32.7,7.27,2.1,17.03,3.51,15.62,5.05,20.75,0.03,122,25,112,36,0.0,,0.0,NONE,18.0,66,651,763,4790,199.6,3.33,2,51.4,0,1321,3468,0,27.6,72.4,0.92,0,2.22,1.3,3.52,0.63,0.28,1.334,3,0,0,,17,90.6,0.57,38.04,0.0
29.0,13.1,1.985,26.004,2231,762.5495955,764.1340453,1.0,341.5,70.9,32.9,32.8,8.18,2.3,17.2,3.57,16.06,4.79,20.74,0.03,123,26,115,34,0.0,,0.0,NONE,18.0,66,651,763,5493,228.9,3.81,2,58.9,0,0,5493,0,0.0,100.0,1.0,0,1.79,2.79,4.58,0.39,0.26,1.415,5,0,0,,19,88.6,1.11,36.36,0.0
32.0,27.65,1.084,29.972,1027,803.2525066,769.801111,0.96,190.0,34.1,34.9,36.4,8.62,2.5,17.53,3.15,16.09,4.7,20.73,0.05,125,23,115,34,0.0,,0.0,NONE,18.0,66,651,763,5730,238.8,3.98,3,61.5,0,814,4916,0,14.2,85.8,0.96,0,1.0,1.17,2.17,0.46,0.31,1.477,3,0,0,,20,86.9,1.08,35.78,0.0
35.0,13.13,1.306,17.147,1268,501.7814081,489.5879671,0.98,224.9,45.6,32.3,33.1,5.38,1.5,17.22,3.49,15.84,4.99,20.73,0.05,123,25,113,36,0.0,,0.0,NONE,18.0,66,651,763,3594,149.7,2.5,3,38.6,0,298,3295,0,8.3,91.7,0.98,0,2.31,2.26,4.57,0.51,0.28,1.234,3,0,0,,12,92.5,0.57,37.65,0.0
38.0,20.91,1.382,28.892,1153,833.7730218,815.3533203,0.98,238.5,47.7,32.9,33.6,8.95,2.6,17.26,3.45,15.74,5.06,20.72,0.05,124,25,113,36,0.0,,0.0,NONE,18.0,66,651,763,5974,248.9,4.15,3,64.1,0,450,5524,0,7.5,92.5,0.98,0,1.27,1.6,2.87,0.44,0.3,1.461,3,0,0,,21,87.4,1.09,38.1,0.0
46.0,7.86,2.268,17.835,1953,568.4592033,585.8329056,1.03,382.7,90.7,30.4,29.5,6.1,1.7,16.87,4.0,15.63,5.2,20.74,0.04,121,29,112,37,0.0,,0.0,NONE,18.0,66,651,763,4120,171.7,2.86,3,44.2,0,0,4120,0,0.0,100.0,1.03,0,2.15,5.48,7.63,0.28,0.24,1.251,8,0,0,,14,92.2,1.05,39.0,0.0
55.0,6.38,1.863,11.891,2112,481.4543825,462.527017,0.96,296.4,87.9,23.8,24.7,5.17,1.5,15.91,4.72,14.44,6.06,20.75,0.03,114,34,103,43,0.0,,0.0,NONE,18.0,66,651,763,3436,143.2,2.39,4,36.9,0,461,2975,0,13.4,86.6,0.96,0,2.67,6.73,9.4,0.28,0.2,1.075,9,0,0,,12,94.8,0.7,44.55,0.0
58.0,21.74,0.834,18.13,1686,473.8835833,414.2003346,0.87,147.3,23.3,35.0,40.1,5.08,1.5,17.66,2.79,15.66,4.83,20.73,0.04,126,20,112,35,0.0,,0.0,NONE,18.0,66,651,763,3317,138.2,2.3,4,35.6,0,1426,1891,0,43.0,57.0,0.87,0,1.91,0.85,2.76,0.69,0.37,1.258,3,0,0,,12,92.1,0.44,36.62,0.0
61.0,20.62,1.062,21.897,920,668.7333354,615.3848526,0.92,181.6,36.4,30.6,33.2,7.18,2.1,17.1,3.43,14.99,5.47,20.72,0.04,122,25,107,39,0.0,,0.0,NONE,18.0,66,651,763,4730,197.1,3.28,4,50.8,0,1288,3442,0,27.2,72.8,0.92,0,1.02,1.89,2.91,0.35,0.33,1.34,3,0,0,,17,90.4,1.04,40.75,0.0
65.0,12.93,1.809,23.392,1154,962.173725,849.3884243,0.88,287.5,79.9,23.4,26.5,10.32,2.9,15.89,4.42,14.06,6.04,20.73,0.04,114,32,101,43,0.0,,0.0,NONE,18.0,66,651,763,6749,281.2,4.69,4,72.4,0,2700,4049,0,40.0,60.0,0.88,0,1.14,3.5,4.64,0.25,0.25,1.369,4,0,0,,24,89.8,1.59,44.42,0.0
71.0,11.43,1.702,19.451,1939,767.0762701,679.9946889,0.89,274.0,72.4,24.3,27.4,8.23,2.4,16.1,4.25,14.44,5.77,20.74,0.04,115,30,103,41,0.0,,0.0,NONE,18.0,66,651,763,5385,224.4,3.74,5,57.8,0,2086,3299,0,38.7,61.3,0.89,0,2.13,3.12,5.25,0.41,0.25,1.289,6,0,0,,19,91.5,0.8,42.68,0.0
74.0,17.34,2.042,35.41,1996,1274.1117976,1165.0045137,0.91,335.5,82.0,26.8,29.4,13.67,3.9,16.43,4.02,15.09,5.31,20.69,0.05,118,29,108,38,0.0,,13.0,NONE,18.0,66,651,763,9001,375.0,6.25,5,96.6,0,2631,6370,0,29.2,70.8,0.91,0,1.35,2.11,3.46,0.39,0.24,1.549,3,0,0,,32,84.5,1.51,39.71,0.0
78.0,18.02,1.243,22.396,1397,653.6394449,599.4685434,0.92,214.7,40.6,32.3,35.3,7.01,2.0,17.27,3.27,15.56,4.97,20.73,0.04,124,23,111,36,0.0,,0.0,NONE,18.0,66,651,763,4620,192.5,3.21,5,49.6,0,1307,3314,0,28.3,71.7,0.92,0,1.34,1.99,3.33,0.4,0.32,1.35,4,0,0,,16,90.2,0.93,37.52,0.0
80.0,22.3,1.015,22.639,1154,629.9615752,573.5015372,0.91,177.0,31.5,33.5,36.8,6.76,1.9,17.44,3.1,15.74,4.84,20.73,0.05,125,22,113,35,0.0,,0.0,NONE,18.0,66,651,763,4446,185.3,3.09,5,47.7,0,1360,3086,0,30.6,69.4,0.91,0,1.18,1.51,2.69,0.44,0.33,1.355,2,0,0,,16,90.1,0.86,36.69,0.0
83.0,23.9,0.946,22.614,752,627.5293312,580.2356276,0.92,164.2,30.3,33.4,36.1,6.73,1.9,17.36,3.2,15.69,4.9,20.65,0.11,124,23,112,35,0.0,,0.0,NONE,18.0,66,651,763,4443,185.1,3.09,6,47.7,0,1143,3300,0,25.7,74.3,0.92,0,0.99,1.52,2.51,0.39,0.31,1.354,3,0,0,,16,90.1,0.96,37.07,0.0
86.0,19.17,1.121,21.489,1090,603.118141,566.5974693,0.94,194.6,36.3,33.4,35.6,6.47,1.8,17.36,3.24,15.42,5.18,20.7,0.06,124,23,110,37,0.0,,0.0,NONE,18.0,66,651,763,4285,178.5,2.98,6,46.0,0,885,3399,0,20.7,79.3,0.94,0,1.18,1.95,3.13,0.38,0.34,1.332,3,0,0,,15,90.6,0.95,38.88,0.0
89.0,17.75,0.997,17.698,1065,457.194724,424.16334,0.93,175.9,29.3,36.0,38.8,4.91,1.4,17.64,2.94,15.95,4.7,20.71,0.05,126,21,114,34,0.0,,0.0,NONE,18.0,66,651,763,3239,135.0,2.25,6,34.8,0,799,2441,0,24.7,75.3,0.93,0,1.39,1.99,3.38,0.41,0.34,1.248,3,0,0,,11,92.3,0.72,35.78,0.0
93.0,18.24,0.966,17.617,772,504.3440673,469.2398866,0.93,167.4,31.4,32.4,34.8,5.41,1.5,17.33,3.25,15.51,5.09,20.73,0.04,124,23,111,36,0.0,,0.0,NONE,18.0,66,651,763,3576,149.0,2.48,6,38.4,0,849,2726,0,23.8,76.2,0.93,0,1.42,1.87,3.29,0.43,0.32,1.246,4,0,0,,13,92.3,0.68,38.3,0.0
96.0,18.69,1.021,19.084,772,594.7246947,542.57961,0.91,174.0,35.5,29.9,32.8,6.38,1.8,17.04,3.48,15.02,5.41,20.73,0.05,122,25,108,39,0.0,,0.0,NONE,18.0,66,651,763,4199,175.0,2.92,6,45.1,0,1257,2943,0,29.9,70.1,0.91,0,1.47,1.74,3.21,0.46,0.31,1.281,3,0,0,,15,91.7,0.69,40.36,0.0
