BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
10.1,14.8,80.0,80.0,8.0,8.0,,,3.0
15.2,14.5,61.0,70.5,9.0,8.5,,,7.0
18.3,17.2,42.0,61.0,8.0,8.3,,,10.0
20.5,18.0,114.0,74.2,23.0,12.0,,,13.0
20.0,17.8,91.0,77.6,18.0,13.2,,,16.0
20.3,19.5,99.0,81.2,20.0,14.3,,,19.0
20.5,20.3,66.0,79.0,14.0,14.3,,,22.0
20.8,20.5,69.0,77.8,14.0,14.2,,,25.0
21.7,20.6,99.0,80.1,22.0,15.1,,,28.0
21.1,20.8,77.0,79.8,16.0,15.2,,,30.0
23.8,21.2,81.0,79.9,19.0,15.5,,,33.0
19.7,21.2,63.0,78.5,12.0,15.2,,,36.0
19.0,20.9,84.0,78.9,16.0,15.3,,,39.0
22.1,21.0,73.0,78.5,16.0,15.4,,,42.0
21.1,21.0,71.0,78.0,15.0,15.3,,,45.0
20.8,20.6,76.0,77.9,16.0,15.4,,,48.0
23.4,21.3,81.0,78.1,19.0,15.6,,,50.0
23.1,22.1,66.0,77.4,15.0,15.6,,,53.0
23.1,22.4,71.0,77.1,16.0,15.6,,,55.0
24.2,23.2,71.0,76.8,17.0,15.6,,,58.0
25.9,23.6,76.0,76.7,20.0,15.9,,,60.0
18.3,23.4,289.0,86.4,53.0,17.5,,,65.0
14.9,21.9,78.0,86.0,12.0,17.3,,,68.0
18.8,20.4,79.0,85.7,15.0,17.2,,,71.0
20.5,19.2,49.0,84.2,10.0,16.9,,,74.0
18.3,18.4,77.0,84.0,14.0,16.8,,,77.0
16.9,18.0,90.0,84.2,15.0,16.7,,,80.0
11.3,18.0,423.0,96.3,48.0,17.9,,,87.0
12.7,16.0,99.0,96.4,13.0,17.7,,,90.0
15.5,15.0,59.0,95.1,9.0,17.4,,,95.0
16.9,15.0,71.0,94.4,12.0,17.2,,,98.0
21.1,15.0,81.0,93.9,17.0,17.2,,,101.0
20.0,17.4,106.0,94.3,21.0,17.3,,,104.0
12.7,17.4,335.0,101.4,43.0,18.1,,,110.0
9.8,16.5,337.0,108.1,33.0,18.5,,,114.0
11.2,14.6,93.0,107.7,10.0,18.3,,,120.0
25.0,14.6,122.0,108.1,30.0,18.6,,,122.0
39.5,16.3,55.0,106.7,22.0,18.7,,,124.0
48.4,25.2,142.0,107.6,69.0,20.0,,,125.0
16.7,27.0,162.0,109.0,27.0,20.2,,,129.0
20.5,28.3,110.0,109.0,23.0,20.2,,,132.0
26.8,28.9,175.0,110.5,47.0,20.9,,,134.0
23.4,23.6,156.0,111.6,37.0,21.2,,,136.0
23.1,22.4,171.0,113.0,39.0,21.6,,,139.0
18.5,22.4,229.0,115.5,42.0,22.1,,,142.0
15.6,21.7,323.0,120.0,50.0,22.7,,,146.0
16.3,19.3,183.0,121.4,30.0,22.9,,,150.0
16.1,17.0,464.0,128.5,75.0,23.9,,,154.0
14.7,16.0,271.0,131.4,40.0,24.3,,,158.0
19.0,16.0,233.0,133.5,44.0,24.7,,,161.0
19.7,17.1,249.0,135.7,49.0,25.1,,,164.0
21.7,18.3,268.0,138.3,58.0,25.8,,,166.0
23.8,20.2,280.0,140.9,67.0,26.5,,,169.0
21.4,21.0,240.0,142.8,51.0,27.0,,,172.0
18.8,21.0,335.0,146.3,63.0,27.7,,,175.0
17.9,20.6,279.0,148.6,50.0,28.1,,,178.0
17.6,19.3,334.0,151.9,59.0,28.6,,,182.0
23.1,19.3,353.0,155.4,81.0,29.5,,,184.0
19.2,18.6,293.0,157.7,56.0,29.9,,,187.0
22.7,19.9,230.0,158.9,52.0,30.3,,,190.0
23.8,21.7,257.0,160.5,61.0,30.8,,,192.0
23.1,23.0,341.0,163.4,79.0,31.6,,,195.0
23.1,23.0,293.0,165.5,68.0,32.2,,,198.0
23.1,23.1,309.0,167.7,71.0,32.8,,,200.0
19.5,23.1,327.0,170.2,64.0,33.3,,,204.0
23.1,23.1,291.0,172.0,67.0,33.8,,,206.0
23.4,23.1,336.0,174.4,79.0,34.4,,,209.0
20.5,22.2,261.0,175.7,54.0,34.7,,,212.0
21.7,21.8,296.0,177.5,64.0,35.2,,,214.0
18.8,21.8,446.0,181.3,84.0,35.9,,,218.0
17.4,20.3,401.0,184.4,70.0,36.3,,,221.0
17.9,19.1,424.0,187.7,76.0,36.9,,,224.0
16.5,18.0,425.0,191.0,70.0,37.3,,,228.0
17.9,17.7,514.0,195.3,92.0,38.1,,,231.0
19.2,17.7,462.0,198.9,89.0,38.8,,,234.0
18.1,17.9,465.0,202.4,84.0,39.4,,,238.0
19.2,18.4,411.0,205.1,79.0,39.9,,,241.0
19.2,18.8,344.0,206.9,66.0,40.2,,,244.0
21.1,19.2,364.0,208.9,77.0,40.7,,,247.0
19.2,19.2,280.0,209.8,54.0,40.8,,,250.0
21.1,19.9,382.0,211.9,81.0,41.3,,,253.0
22.1,20.5,364.0,213.7,80.0,41.8,,,255.0
20.0,20.8,308.0,214.9,62.0,42.0,,,259.0
20.8,20.7,392.0,217.0,82.0,42.5,,,261.0
20.5,20.8,375.0,218.8,77.0,42.9,,,264.0
17.9,20.5,477.0,221.8,85.0,43.4,,,268.0
18.8,19.8,422.0,224.1,79.0,43.8,,,271.0
18.8,19.3,350.0,225.6,66.0,44.1,,,274.0
21.4,19.3,350.0,227.0,75.0,44.4,,,277.0
19.7,19.1,301.0,227.8,59.0,44.6,,,280.0
20.3,19.6,380.0,229.5,77.0,44.9,,,283.0
20.0,20.0,325.0,230.5,65.0,45.2,,,286.0
24.2,20.6,283.0,231.1,68.0,45.4,,,289.0
22.1,20.8,297.0,231.8,66.0,45.6,,,291.0
22.7,21.7,299.0,232.5,68.0,45.9,,,294.0
23.8,22.9,327.0,233.5,78.0,46.2,,,296.0
22.1,22.9,319.0,234.4,70.0,46.4,,,299.0
23.4,22.7,368.0,235.7,86.0,46.8,,,302.0
22.7,23.0,297.0,237.9,68.0,47.5,,,304.0
20.3,22.7,362.0,241.0,73.0,48.1,,,307.0
21.1,22.0,364.0,242.2,77.0,48.4,,,310.0
21.7,21.9,337.0,245.2,73.0,49.1,,,313.0
21.4,21.4,278.0,246.9,60.0,49.4,,,315.0
23.4,21.4,311.0,249.1,73.0,50.0,,,318.0
21.4,21.5,385.0,252.0,83.0,50.6,,,321.0
21.7,21.6,353.0,254.9,77.0,51.3,,,324.0
23.8,22.2,327.0,257.5,78.0,51.9,,,326.0
21.4,22.2,407.0,260.6,87.0,52.6,,,329.0
20.0,21.5,376.0,263.6,75.0,53.2,,,332.0
22.7,22.0,278.0,265.6,63.0,53.6,,,335.0
25.0,22.7,286.0,267.9,71.0,54.2,,,337.0
25.4,23.1,250.0,269.5,64.0,54.7,,,339.0
25.9,24.4,257.0,269.4,66.0,54.8,,,342.0
20.8,24.4,262.0,271.3,55.0,55.2,,,345.0
22.1,24.2,297.0,273.6,66.0,55.7,,,347.0
21.4,23.0,322.0,276.0,69.0,56.2,,,350.0
22.7,22.1,308.0,280.4,70.0,57.2,,,353.0
18.3,21.4,521.0,285.0,95.0,58.0,,,356.0
18.1,20.6,343.0,287.7,62.0,58.4,,,359.0
22.7,20.8,328.0,290.3,75.0,59.0,,,362.0
23.4,21.2,249.0,289.9,58.0,59.0,,,365.0
24.2,21.5,242.0,289.4,59.0,59.0,,,367.0
25.4,23.5,232.0,290.9,59.0,59.5,,,370.0
25.0,24.2,205.0,292.2,51.0,59.8,,,372.0
24.6,24.6,257.0,294.3,63.0,60.4,,,374.0
22.7,24.6,222.0,293.6,50.0,60.3,,,377.0
26.3,25.0,229.0,295.1,60.0,60.7,,,379.0
25.4,25.0,228.0,296.4,58.0,61.2,,,381.0
24.2,24.7,244.0,295.9,59.0,61.1,,,384.0
25.4,25.0,217.0,295.2,55.0,61.1,,,386.0
24.2,25.0,236.0,293.3,57.0,61.2,,,389.0
25.0,24.9,191.0,294.2,48.0,61.5,,,391.0
25.9,24.9,251.0,293.8,65.0,61.5,,,394.0
24.6,25.0,197.0,295.1,48.0,61.9,,,396.0
24.6,24.7,226.0,296.6,56.0,62.3,,,398.0
25.4,25.0,234.0,298.1,59.0,62.7,,,401.0
26.3,25.3,188.0,297.1,49.0,62.6,,,403.0
29.4,25.4,220.0,298.1,65.0,63.0,,,405.0
27.3,26.3,219.0,297.4,60.0,63.0,,,407.0
28.8,27.5,244.0,296.9,70.0,63.1,,,410.0
19.7,27.5,453.0,298.0,89.0,63.5,,,412.0
18.3,25.3,281.0,297.5,51.0,63.7,,,416.0
21.7,22.9,216.0,296.7,47.0,63.5,,,419.0
25.0,22.2,226.0,298.0,56.0,63.9,,,421.0
29.4,22.2,198.0,298.7,58.0,64.2,,,423.0
38.5,25.4,54.0,298.6,21.0,64.2,,,425.0
30.6,28.3,223.0,299.4,68.0,64.2,,,426.0
29.4,29.8,238.0,298.8,70.0,64.2,,,429.0
29.4,29.8,216.0,299.3,64.0,64.6,,,431.0
19.2,29.8,462.0,303.7,89.0,65.3,,,435.0
18.8,26.0,234.0,304.5,44.0,65.4,,,437.0
28.3,25.6,209.0,304.8,59.0,65.6,,,439.0
30.0,25.6,142.0,303.3,43.0,65.4,,,441.0
23.8,23.8,225.0,303.3,54.0,65.5,,,443.0
24.2,25.4,193.0,302.3,47.0,65.3,,,446.0
24.2,25.6,212.0,301.3,51.0,65.3,,,448.0
