BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
24.6,22.7,63.0,63.0,15.0,15.0,,,2.0
19.7,22.7,96.0,79.5,19.0,17.0,,,5.0
17.4,21.1,69.0,76.0,12.0,15.3,,,9.0
21.4,20.8,84.0,78.0,18.0,16.0,,,11.0
19.2,20.1,60.0,74.4,12.0,15.2,,,15.0
17.6,18.9,55.0,71.2,10.0,14.3,,,18.0
20.0,19.0,91.0,74.0,18.0,14.9,,,21.0
18.5,19.2,55.0,71.6,10.0,14.2,,,24.0
19.2,19.0,58.0,70.1,11.0,13.9,,,27.0
20.0,19.2,63.0,69.4,13.0,13.8,,,31.0
18.8,19.3,53.0,67.9,10.0,13.5,,,34.0
21.4,19.3,63.0,67.5,14.0,13.5,,,37.0
18.3,19.3,65.0,67.3,12.0,13.4,,,40.0
17.9,19.0,58.0,66.6,10.0,13.1,,,43.0
18.1,18.4,61.0,66.3,11.0,13.0,,,47.0
19.7,18.7,65.0,66.2,13.0,13.0,,,50.0
16.1,18.1,96.0,67.9,15.0,13.1,,,53.0
17.4,17.8,71.0,68.1,12.0,13.1,,,57.0
19.7,18.4,53.0,67.3,10.0,12.9,,,60.0
20.5,19.0,63.0,67.1,13.0,12.9,,,63.0
21.4,19.2,53.0,66.4,11.0,12.8,,,66.0
20.0,20.1,66.0,66.4,13.0,12.8,,,68.0
19.7,20.1,65.0,66.3,13.0,12.8,,,72.0
20.0,20.2,60.0,66.1,12.0,12.8,,,74.0
14.3,19.9,253.0,73.6,36.0,13.7,,,80.0
12.6,18.0,25.0,71.7,3.0,13.3,,,84.0
21.1,18.0,58.0,71.2,12.0,13.3,,,86.0
17.6,17.3,33.0,69.8,6.0,13.0,,,90.0
22.1,17.7,43.0,68.9,9.0,12.9,,,92.0
21.7,20.2,45.0,68.1,10.0,12.8,,,95.0
20.3,21.0,48.0,67.5,10.0,12.7,,,98.0
23.1,21.4,60.0,67.2,14.0,12.7,,,101.0
18.8,21.4,64.0,67.1,12.0,12.7,,,104.0
21.1,21.0,74.0,67.3,16.0,12.8,,,107.0
21.4,20.9,63.0,67.2,14.0,12.8,,,110.0
20.5,21.0,53.0,66.8,11.0,12.8,,,112.0
19.0,20.2,53.0,66.4,10.0,12.7,,,116.0
22.1,21.0,55.0,66.1,12.0,12.7,,,118.0
21.4,21.1,150.0,68.3,32.0,13.2,,,127.0
24.6,21.3,162.0,70.6,40.0,13.8,,,129.0
16.1,20.8,128.0,72.0,21.0,14.0,,,133.0
22.1,21.8,118.0,73.1,26.0,14.3,,,136.0
19.2,20.9,215.0,76.4,41.0,14.9,,,138.0
18.8,20.0,123.0,77.5,23.0,15.1,,,142.0
24.2,20.0,130.0,78.6,31.0,15.5,,,144.0
21.4,20.9,126.0,79.7,27.0,15.7,,,147.0
21.1,20.6,136.0,80.9,29.0,16.0,,,150.0
24.2,22.2,145.0,82.2,35.0,16.4,,,152.0
20.5,22.2,205.0,84.7,42.0,16.9,,,155.0
18.1,21.0,205.0,87.1,37.0,17.3,,,159.0
15.8,19.9,156.0,88.5,25.0,17.5,,,162.0
18.1,18.9,171.0,90.1,31.0,17.7,,,166.0
21.4,18.9,174.0,91.6,37.0,18.1,,,168.0
18.8,18.3,167.0,93.0,31.0,18.3,,,172.0
17.4,18.1,230.0,95.5,40.0,18.7,,,175.0
20.3,19.0,150.0,96.5,30.0,18.9,,,178.0
22.4,20.1,164.0,97.7,37.0,19.2,,,181.0
