BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
14.9,18.3,79.0,79.0,12.0,12.0,,,1.0
16.9,16.8,92.0,85.5,16.0,14.0,,,5.0
16.5,16.4,140.0,103.7,23.0,17.0,,,9.0
14.7,15.8,74.0,96.2,11.0,15.5,,,13.0
16.0,15.8,79.0,92.8,13.0,15.0,,,16.0
14.6,15.7,82.0,91.0,12.0,14.5,,,21.0
15.6,15.4,82.0,89.7,13.0,14.3,,,24.0
17.0,15.4,102.0,91.2,17.0,14.6,,,28.0
14.2,15.4,135.0,96.1,19.0,15.1,,,32.0
11.2,14.8,107.0,97.2,12.0,14.8,,,38.0
12.8,14.2,79.0,95.5,10.0,14.4,,,42.0
16.1,14.4,72.0,93.6,12.0,14.2,,,46.0
15.3,14.1,100.0,94.1,15.0,14.2,,,50.0
13.8,14.0,64.0,91.9,9.0,13.9,,,55.0
14.6,14.5,158.0,96.3,23.0,14.5,,,59.0
12.2,14.5,62.0,94.2,8.0,14.1,,,63.0
16.3,14.5,79.0,93.3,13.0,14.0,,,67.0
15.5,14.6,57.0,91.3,9.0,13.7,,,71.0
17.9,15.4,51.0,89.2,9.0,13.5,,,75.0
16.5,16.1,80.0,88.7,13.0,13.4,,,78.0
14.0,16.1,141.0,91.2,20.0,13.8,,,83.0
12.7,15.3,98.0,91.5,12.0,13.7,,,87.0
14.2,14.9,88.0,91.3,12.0,13.6,,,91.0
16.3,14.8,79.0,90.8,13.0,13.6,,,95.0
18.1,14.8,82.0,90.5,15.0,13.6,,,98.0
15.0,15.2,113.0,91.3,17.0,13.8,,,102.0
13.6,15.2,108.0,92.0,15.0,13.8,,,106.0
11.9,15.0,94.0,92.0,11.0,13.7,,,112.0
12.9,13.9,95.0,92.1,12.0,13.7,,,116.0
9.7,12.8,340.0,100.4,33.0,14.3,,,123.0
18.8,12.8,147.0,101.9,28.0,14.7,,,125.0
25.0,14.5,89.0,101.5,22.0,15.0,,,128.0
22.1,17.9,95.0,101.3,21.0,15.2,,,131.0
14.2,18.3,297.0,107.1,42.0,15.9,,,136.0
13.2,18.3,130.0,107.7,17.0,16.0,,,139.0
22.1,19.4,85.0,107.1,19.0,16.1,,,142.0
15.5,17.2,167.0,108.7,26.0,16.3,,,147.0
16.1,15.2,190.0,110.8,31.0,16.7,,,150.0
19.2,16.9,137.0,111.5,26.0,16.9,,,153.0
17.6,17.7,199.0,113.7,35.0,17.4,,,156.0
17.9,17.2,127.0,114.0,23.0,17.5,,,160.0
21.7,18.2,157.0,115.0,34.0,17.9,,,162.0
19.7,18.9,148.0,115.8,29.0,18.2,,,165.0
16.9,18.4,280.0,119.5,47.0,18.8,,,169.0
17.4,18.3,140.0,120.0,24.0,19.0,,,172.0
19.0,18.7,189.0,121.5,36.0,19.3,,,176.0
18.8,18.4,145.0,122.0,27.0,19.5,,,179.0
20.8,18.4,165.0,122.9,34.0,19.8,,,182.0
18.3,18.7,235.0,125.2,43.0,20.3,,,185.0
14.3,18.7,150.0,125.7,21.0,20.3,,,189.0
18.1,18.4,133.0,125.8,24.0,20.4,,,192.0
18.5,18.3,255.0,128.3,47.0,20.9,,,196.0
17.2,17.9,148.0,128.7,26.0,21.0,,,199.0
20.3,17.9,138.0,128.9,28.0,21.1,,,202.0
26.8,19.0,253.0,131.1,68.0,21.9,,,204.0
18.5,19.1,122.0,130.9,23.0,22.0,,,208.0
25.0,21.3,152.0,131.3,38.0,22.2,,,210.0
21.7,22.3,144.0,131.5,31.0,22.4,,,213.0
22.7,23.2,125.0,131.4,28.0,22.5,,,215.0
25.0,23.2,133.0,131.4,33.0,22.7,,,218.0
24.2,24.0,135.0,131.5,33.0,22.8,,,220.0
22.1,23.0,206.0,132.7,45.0,23.2,,,223.0
22.4,23.1,130.0,132.7,29.0,23.3,,,226.0
16.3,22.9,337.0,135.9,55.0,23.8,,,230.0
17.4,20.6,125.0,135.7,22.0,23.8,,,233.0
23.4,20.6,123.0,135.5,29.0,23.8,,,235.0
25.0,21.1,154.0,135.8,38.0,24.0,,,238.0
22.4,21.1,120.0,135.5,27.0,24.1,,,240.0
22.1,22.6,191.0,136.3,42.0,24.3,,,243.0
19.2,22.6,155.0,136.6,30.0,24.4,,,246.0
22.4,22.3,159.0,136.9,36.0,24.6,,,249.0
22.4,22.3,147.0,137.1,33.0,24.7,,,252.0
23.8,22.3,145.0,137.2,35.0,24.8,,,254.0
25.0,22.9,151.0,137.4,38.0,25.0,,,257.0
22.7,23.0,177.0,137.9,40.0,25.2,,,259.0
30.6,23.8,99.0,137.4,30.0,25.3,,,261.0
23.8,24.2,95.0,136.8,23.0,25.3,,,264.0
25.4,24.7,181.0,137.4,46.0,25.5,,,266.0
20.3,24.0,142.0,137.5,29.0,25.6,,,269.0
