t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,VT/Ti,PaCO2_e,RealPower
0.0,29.56,0.855,25.271,841,557.1161182,657.9060154,1.18,154.2,27.5,41.6,35.3,8.92,2.5,18.04,3.22,17.05,4.3,20.8,0.07,129,23,122,31,0,,0,REST,18.2,48,649,761,4171,173.8,2.9,0,66.8,0,0,4171,0,0.0,100.0,1.18,0,1.61,0.42,2.03,0.79,0.22,1.403,0,0,0,,21,85.6,0.53,33.13,
3.0,26.32,0.783,20.605,722,407.0282335,451.8455366,1.11,144.6,21.3,46.1,41.5,6.52,1.9,18.47,2.72,17.34,3.99,20.91,0.07,132,19,124,28,0,,0,REST,18.2,48,649,761,3002,125.1,2.08,0,48.1,0,0,3002,0,0.0,100.0,1.11,0,1.22,1.06,2.28,0.54,0.29,1.314,3,0,0,,15,88.3,0.64,31.14,0.0
6.0,20.07,0.747,14.99,765,316.2448022,357.832241,1.13,136.7,22.0,43.0,38.0,5.06,1.4,18.3,2.95,17.06,4.27,20.92,0.06,131,21,122,30,0,,0,REST,18.2,48,649,761,2343,97.6,1.63,0,37.5,0,0,2343,0,0.0,100.0,1.13,0,1.67,1.32,2.99,0.56,0.27,1.176,3,0,0,,12,91.5,0.45,32.94,0.0
9.0,17.91,1.227,21.976,708,554.9036328,614.4497477,1.11,218.4,42.2,37.3,33.7,8.89,2.5,17.8,3.44,16.79,4.52,20.92,0.06,127,25,120,32,0,,0,REST,18.2,48,649,761,4090,170.4,2.84,0,65.5,0,0,4090,0,0.0,100.0,1.11,0,1.79,1.56,3.35,0.53,0.23,1.342,3,0,0,,21,87.5,0.69,34.54,0.0
12.0,19.8,1.035,20.495,853,510.7084923,568.12991,1.11,184.1,35.4,37.4,33.6,8.18,2.3,17.79,3.42,16.79,4.48,20.87,0.07,127,24,120,32,0,,0,REST,18.2,48,650,761,3768,157.0,2.62,0,60.3,0,0,3768,0,0.0,100.0,1.11,0,1.57,1.46,3.03,0.52,0.22,1.312,3,0,0,,19,88.4,0.66,34.29,0.0
15.0,18.99,1.258,23.886,868,572.8136535,644.8240358,1.13,225.5,41.8,39.4,35.0,9.17,2.6,17.93,3.32,16.89,4.41,20.9,0.06,128,24,121,31,0,,0,REST,18.2,48,650,761,4238,176.6,2.94,1,67.9,0,0,4238,0,0.0,100.0,1.13,0,1.53,1.63,3.16,0.48,0.24,1.378,3,0,0,,21,86.4,0.82,33.84,0.0
18.0,20.34,1.025,20.847,730,420.755687,470.9054278,1.12,188.7,28.7,46.2,41.2,6.74,1.9,18.41,2.8,17.44,3.89,20.91,0.07,131,20,125,28,0,,0,REST,18.2,48,649,761,3109,129.5,2.16,1,49.8,0,0,3109,0,0.0,100.0,1.12,0,1.47,1.48,2.95,0.5,0.28,1.319,3,0,0,,16,88.2,0.7,30.49,0.0
21.0,24.19,0.371,8.976,394,142.123008,158.9476948,1.12,70.3,8.2,51.2,45.8,2.28,0.7,18.95,2.21,17.7,3.59,20.91,0.07,135,16,126,26,0,,0,REST,18.2,48,649,761,1050,43.7,0.73,1,16.8,0,0,1050,0,0.0,100.0,1.12,0,0.96,1.52,2.48,0.39,0.26,0.953,3,0,0,,5,94.9,0.39,28.57,0.0
26.0,23.62,0.687,16.228,639,272.9115329,296.8376467,1.09,129.5,15.6,53.4,49.1,4.37,1.2,18.85,2.27,17.94,3.32,20.92,0.06,135,16,128,24,0,,0,REST,18.2,48,649,761,2003,83.5,1.39,1,32.1,0,0,2003,0,0.0,100.0,1.09,0,1.51,1.03,2.54,0.59,0.29,1.21,5,0,0,,10,90.8,0.45,26.83,0.0
28.0,22.56,0.248,5.594,314,92.6221114,94.2658298,1.02,46.9,5.2,43.3,42.6,1.48,0.4,18.91,2.1,18.07,3.07,20.92,0.06,135,15,129,22,0,,0,REST,18.2,48,649,761,669,27.9,0.46,1,10.7,0,0,669,0,0.0,100.0,1.02,0,1.82,0.84,2.66,0.68,0.12,0.748,2,0,0,,3,96.8,0.14,25.23,0.0
