Time,BR,VT,VE,HR,External Heart Rate,VT calibrated,VT calibrated inst,VE calibrated,VE calibrated inst,VE 15 sec sum
0.0,,,,,,,,,,
1.0,,,,71.0,,,,,,
2.0,19.02,80.86,18.58,71.0,,,,,,
3.0,19.11,81.02,18.56,71.0,,,,,,
4.0,19.19,81.18,18.53,71.0,,,,,,
5.0,19.27,81.33,18.5,72.0,,,,,,
6.0,19.35,81.48,18.48,72.0,,,,,,
7.0,19.43,81.63,18.46,71.0,,,,,,
8.0,19.51,81.78,18.43,71.0,,,,,,
9.0,19.59,81.92,18.41,70.0,,,,,,
10.0,19.67,82.07,18.38,69.0,,,,,,
11.0,19.75,82.21,18.36,69.0,,,,,,
12.0,19.83,82.37,18.33,69.0,,,,,,
13.0,19.92,82.53,18.31,69.0,,,,,,
14.0,20.0,82.69,18.28,69.0,,,,,,
15.0,20.09,82.85,18.25,69.0,,,,,,
16.0,20.17,83.01,18.23,69.0,,,,,,
17.0,20.26,83.17,18.2,69.0,,,,,,
18.0,20.35,83.33,18.18,68.0,,,,,,
19.0,20.43,83.49,18.15,68.0,,,,,,
20.0,20.52,83.66,18.12,68.0,,,,,,
21.0,20.6,83.8,18.1,68.0,,,,,,
22.0,20.67,83.94,18.07,68.0,,,,,,
23.0,20.75,84.09,18.05,68.0,,,,,,
24.0,20.81,84.29,18.02,68.0,,,,,,
25.0,20.85,84.52,17.98,68.0,,,,,,
26.0,20.86,84.7,17.95,67.0,,,,,,
27.0,20.84,84.87,17.92,67.0,,,,,,
28.0,20.83,85.04,17.89,67.0,,,,,,
29.0,20.85,85.26,17.86,66.0,,,,,,
30.0,20.88,85.48,17.82,66.0,,,,,,
31.0,20.91,85.66,17.79,65.0,,,,,,
32.0,20.94,85.82,17.77,65.0,,,,,,
33.0,20.98,85.98,17.74,66.0,,,,,,
34.0,21.04,86.17,17.71,66.0,,,,,,
35.0,21.1,86.36,17.68,66.0,,,,,,
36.0,21.15,86.53,17.65,66.0,,,,,,
37.0,21.18,86.67,17.62,65.0,,,,,,
38.0,21.22,86.81,17.6,65.0,,,,,,
39.0,21.25,86.95,17.58,64.0,,,,,,
40.0,21.3,87.08,17.56,64.0,,,,,,
41.0,21.35,87.21,17.54,64.0,,,,,,
42.0,21.39,87.33,17.52,64.0,,,,,,
43.0,21.44,87.37,17.47,64.0,,,,,,
44.0,21.47,87.29,17.38,64.0,,,,,,
45.0,21.51,87.22,17.3,64.0,,,,,,
46.0,21.53,86.96,17.19,64.0,,,,,,
47.0,21.53,86.05,17.01,64.0,,,,,,
48.0,21.53,85.13,16.83,63.0,,,,,,
49.0,21.53,84.21,16.66,63.0,,,,,,
50.0,21.53,83.38,16.5,63.0,,,,,,
51.0,21.53,82.56,16.35,63.0,,,,,,
52.0,21.51,81.76,16.23,63.0,,,,,,
53.0,21.44,81.0,16.15,63.0,,,,,,
54.0,21.38,80.24,16.08,63.0,,,,,,
55.0,21.3,79.52,16.05,64.0,,,,,,
56.0,21.22,78.81,16.02,64.0,,,,,,
57.0,21.14,78.1,16.0,65.0,,,,,,
58.0,21.05,77.61,15.98,65.0,,,,,,
59.0,20.96,77.14,15.95,65.0,,,,,,
60.0,20.86,76.95,15.97,65.0,,,,,,
61.0,20.75,77.26,16.08,65.0,,,,,,
62.0,20.65,77.58,16.19,65.0,,,,,,
63.0,20.56,77.81,16.35,65.0,,,,,,
64.0,20.47,78.04,16.51,65.0,,,,,,
65.0,20.39,78.26,16.68,66.0,,,,,,
66.0,20.28,78.35,16.79,68.0,,,,,,
67.0,20.1,77.99,16.77,69.0,,,,,,
68.0,19.92,77.64,16.74,69.0,,,,,,
69.0,19.82,78.66,17.22,68.0,,,,,,
70.0,19.74,80.02,17.82,67.5,,,,,,
