Time,BR,VT,VE,HR,External Heart Rate,VT calibrated,VT calibrated inst,VE calibrated,VE calibrated inst,VE 15 sec sum
0.0,,,,,,,,,,
1.0,19.21,110.8,24.56,70.0,,,,,,
2.0,19.34,111.1,24.6,69.0,,,,,,
3.0,19.48,111.4,24.65,68.0,,,,,,
4.0,19.58,111.6,24.68,67.0,,,,,,
5.0,19.68,111.8,24.71,67.0,,,,,,
6.0,19.77,112.0,24.74,67.0,,,,,,
7.0,19.88,112.2,24.77,68.0,,,,,,
8.0,19.99,112.5,24.81,68.0,,,,,,
9.0,20.1,112.7,24.84,67.0,,,,,,
10.0,20.21,113.0,24.88,67.0,,,,,,
11.0,20.33,113.2,24.91,66.0,,,,,,
12.0,20.44,113.5,24.95,65.0,,,,,,
13.0,20.55,113.7,24.98,65.0,,,,,,
14.0,20.66,113.9,25.01,64.0,,,,,,
15.0,20.76,114.2,25.05,64.0,,,,,,
16.0,20.85,114.3,25.07,64.0,,,,,,
17.0,20.94,114.5,25.1,64.0,,,,,,
18.0,21.03,114.7,25.13,64.0,,,,,,
19.0,21.17,115.0,25.17,64.0,,,,,,
20.0,21.32,115.4,25.22,64.0,,,,,,
21.0,21.47,115.7,25.27,64.0,,,,,,
22.0,21.61,116.0,25.31,64.0,,,,,,
23.0,21.76,116.2,25.35,65.0,,,,,,
24.0,21.89,116.5,25.38,65.0,,,,,,
25.0,22.03,116.7,25.42,65.0,,,,,,
26.0,22.15,117.0,25.46,65.0,,,,,,
27.0,22.27,117.2,25.49,65.0,,,,,,
28.0,22.39,117.5,25.52,64.0,,,,,,
29.0,22.53,117.7,25.56,64.0,,,,,,
30.0,22.66,118.0,25.6,64.0,,,,,,
31.0,22.79,118.2,25.63,65.0,,,,,,
32.0,22.87,118.5,25.67,65.0,,,,,,
33.0,22.95,118.8,25.71,65.0,,,,,,
34.0,23.01,119.0,25.75,66.0,,,,,,
35.0,23.04,119.3,25.79,66.0,,,,,,
36.0,23.08,119.6,25.83,66.0,,,,,,
37.0,23.12,119.9,25.87,67.0,,,,,,
38.0,23.16,120.2,25.91,67.0,,,,,,
39.0,23.19,121.1,26.0,68.0,,,,,,
40.0,23.21,122.1,26.09,68.0,,,,,,
41.0,23.23,122.9,26.17,68.0,,,,,,
42.0,23.23,123.4,26.24,68.0,,,,,,
43.0,23.22,123.9,26.29,68.0,,,,,,
44.0,23.21,124.0,26.2,68.0,,,,,,
45.0,23.19,124.0,26.1,68.0,,,,,,
46.0,23.15,124.3,26.09,68.0,,,,,,
47.0,23.11,124.6,26.12,68.0,,,,,,
48.0,23.06,125.0,26.15,68.0,,,,,,
49.0,22.98,128.7,26.73,67.5,,,,,,
50.0,22.87,134.4,27.62,67.0,,,,,,
51.0,22.76,140.1,28.51,67.0,,,,,,
52.0,22.66,141.0,28.63,66.0,,,,,,
53.0,22.55,141.6,28.7,65.0,,,,,,
54.0,22.45,142.0,28.75,65.0,,,,,,
55.0,22.34,141.4,28.58,65.0,,,,,,
56.0,22.23,140.7,28.42,65.0,,,,,,
57.0,22.14,140.7,28.39,65.0,,,,,,
58.0,22.06,141.6,28.51,65.0,,,,,,
59.0,21.98,142.4,28.63,65.0,,,,,,
60.0,21.91,143.2,28.75,65.0,,,,,,
61.0,21.83,144.0,28.87,65.0,,,,,,
62.0,21.73,144.8,28.98,65.0,,,,,,
63.0,21.57,145.4,29.05,65.0,,,,,,
64.0,21.41,146.0,29.12,65.0,,,,,,
65.0,21.27,146.5,29.15,66.0,,,,,,
66.0,21.16,146.6,29.12,66.0,,,,,,
67.0,21.05,146.7,29.08,66.0,,,,,,
68.0,20.93,146.8,29.04,66.0,,,,,,
69.0,20.82,147.1,29.1,65.0,,,,,,
70.0,20.71,147.4,29.18,65.0,,,,,,
71.0,20.6,147.8,29.26,64.0,,,,,,
72.0,20.49,148.1,29.34,65.0,,,,,,
73.0,20.37,148.5,29.42,65.0,,,,,,
74.0,20.2,148.9,29.47,65.0,,,,,,
75.0,20.03,149.5,29.52,65.0,,,,,,
76.0,19.85,150.0,29.57,65.0,,,,,,
77.0,19.66,151.1,29.64,65.0,,,,,,
78.0,19.48,153.2,29.76,65.0,,,,,,
79.0,19.29,155.3,29.87,65.0,,,,,,
80.0,19.01,155.6,30.4,66.0,,,,,,
81.0,18.84,156.0,30.67,67.0,,,,,,
82.0,18.77,156.7,30.68,69.0,,,,,,
83.0,18.7,157.3,30.69,71.0,,,,,,
84.0,18.62,158.0,30.69,71.0,,,,,,
85.0,18.55,158.7,30.7,70.0,,,,,,
86.0,18.49,159.2,30.7,69.0,,,,,,
87.0,18.42,159.8,30.7,69.0,,,,,,
88.0,18.35,160.3,30.7,68.0,,,,,,
89.0,18.29,160.9,30.7,69.0,,,,,,
90.0,18.2,162.3,30.9,71.0,,,,,,
91.0,18.1,164.6,31.31,71.0,,,,,,
92.0,18.0,166.8,31.71,70.5,,,,,,
93.0,17.93,168.6,32.04,70.0,,,,,,
94.0,17.86,170.1,32.31,70.0,,,,,,
95.0,17.79,171.5,32.59,69.0,,,,,,
96.0,17.73,173.0,32.86,69.0,,,,,,
97.0,17.67,174.6,33.21,68.0,,,,,,
98.0,17.63,176.6,33.63,68.0,,,,,,
99.0,17.59,178.5,34.06,67.0,,,,,,
100.0,17.55,180.5,34.48,66.0,,,,,,
101.0,17.54,182.7,34.93,66.0,,,,,,
102.0,17.54,184.9,35.38,66.0,,,,,,
103.0,17.54,187.2,35.83,66.0,,,,,,
104.0,17.54,189.4,36.28,68.0,,,,,,
105.0,17.53,191.8,36.8,68.0,,,,,,
106.0,17.53,194.4,37.48,68.0,,,,,,
107.0,17.52,196.9,38.12,68.0,,,,,,
108.0,17.54,198.9,38.57,68.0,,,,,,
109.0,17.55,200.8,39.02,68.0,,,,,,
110.0,17.56,202.7,39.47,68.0,,,,,,
111.0,17.57,205.0,39.98,69.0,,,,,,
112.0,17.58,207.4,40.5,70.0,,,,,,
113.0,17.59,209.8,41.03,69.0,,,,,,
114.0,17.58,212.2,41.53,70.0,,,,,,
115.0,17.54,214.7,41.96,70.0,,,,,,
116.0,17.5,217.2,42.4,69.0,,,,,,
117.0,17.46,219.5,42.88,68.0,,,,,,
118.0,17.43,221.5,43.41,68.0,,,,,,
119.0,17.39,223.5,43.93,68.0,,,,,,
120.0,17.35,225.5,44.46,68.0,,,,,,
121.0,17.4,228.6,45.4,69.0,,,,,,
122.0,17.47,231.9,46.45,70.0,,,,,,
123.0,17.61,235.3,47.68,70.0,,,,,,
124.0,17.85,237.6,48.66,71.0,,,,,,
125.0,17.92,239.2,48.92,72.0,,,,,,
126.0,17.99,240.7,49.19,73.0,,,,,,
127.0,18.06,242.3,49.46,74.0,,,,,,
128.0,18.17,245.6,50.01,79.0,,,,,,
129.0,18.39,254.0,51.37,84.0,,,,,,
130.0,18.46,255.6,51.88,86.0,,,,,,
131.0,18.53,257.1,52.4,91.0,,,,,,
132.0,18.6,258.7,52.91,94.0,,,,,,
133.0,18.68,260.3,53.42,96.0,,,,,,
134.0,18.76,262.0,53.98,98.0,,,,,,
135.0,18.84,263.8,54.56,100.0,,,,,,
136.0,18.93,265.6,55.15,101.0,,,,,,
137.0,19.02,267.4,55.75,102.0,,,,,,
138.0,19.11,269.9,56.47,102.0,,,,,,
139.0,19.2,272.5,57.2,101.0,,,,,,
140.0,19.29,274.8,57.89,102.0,,,,,,
141.0,19.39,276.4,58.4,103.0,,,,,,
142.0,19.49,277.9,58.9,103.0,,,,,,
143.0,19.59,279.8,59.47,104.0,,,,,,
144.0,19.68,282.8,60.27,104.0,,,,,,
145.0,19.78,285.7,61.07,103.0,,,,,,
146.0,19.88,286.8,61.53,104.0,,,,,,
147.0,19.99,284.0,61.34,103.0,,,,,,
148.0,20.1,281.2,61.14,103.0,,,,,,
149.0,20.21,280.9,61.36,104.0,,,,,,
150.0,20.33,283.7,62.07,104.0,,,,,,
151.0,20.44,286.4,62.78,104.0,,,,,,
152.0,20.54,288.9,63.44,104.0,,,,,,
153.0,20.64,291.4,64.1,105.0,,,,,,
154.0,20.75,293.2,64.59,106.0,,,,,,
155.0,20.89,294.4,64.89,107.0,,,,,,
156.0,21.02,295.5,65.19,110.0,,,,,,
157.0,21.18,297.3,65.65,110.0,,,,,,
158.0,21.36,299.5,66.24,111.0,,,,,,
159.0,21.54,301.7,66.83,112.0,,,,,,
160.0,21.71,304.3,67.52,112.0,,,,,,
161.0,21.87,307.0,68.24,113.0,,,,,,
162.0,22.03,309.7,68.97,114.0,,,,,,
163.0,22.15,312.5,69.73,114.0,,,,,,
164.0,22.26,315.4,70.48,115.0,,,,,,
165.0,22.39,318.1,71.27,115.0,,,,,,
166.0,22.53,320.5,72.1,115.0,,,,,,
167.0,22.64,322.4,72.82,115.0,,,,,,
168.0,22.71,323.3,73.34,116.0,,,,,,
169.0,22.78,324.2,73.85,118.0,,,,,,
170.0,22.84,325.9,74.32,118.0,,,,,,
171.0,22.89,328.8,74.7,118.0,,,,,,
172.0,22.95,331.6,75.08,118.0,,,,,,
173.0,22.99,334.1,75.67,117.0,,,,,,
174.0,23.03,336.2,76.46,117.0,,,,,,
175.0,23.06,338.3,77.23,117.0,,,,,,
176.0,23.08,340.3,77.9,117.0,,,,,,
177.0,23.1,342.4,78.57,117.0,,,,,,
178.0,23.13,342.1,78.71,117.0,,,,,,
179.0,23.16,340.0,78.43,118.0,,,,,,
180.0,23.19,338.7,78.29,117.0,,,,,,
181.0,23.2,339.4,78.46,117.0,,,,,,
182.0,23.22,340.1,78.63,118.0,,,,,,
183.0,23.23,340.9,78.99,118.0,,,,,,
184.0,23.26,341.6,79.47,118.0,,,,,,
185.0,23.28,341.7,79.78,119.0,,,,,,
186.0,23.3,340.7,79.8,118.0,,,,,,
187.0,23.33,339.7,79.83,119.0,,,,,,
188.0,23.36,339.7,79.97,119.0,,,,,,
189.0,23.41,339.9,80.16,119.0,,,,,,
190.0,23.45,340.2,80.34,119.0,,,,,,
191.0,23.47,340.5,80.49,119.0,,,,,,
192.0,23.49,340.8,80.64,119.0,,,,,,
193.0,23.51,341.2,80.84,119.0,,,,,,
194.0,23.52,342.1,81.24,119.0,,,,,,
195.0,23.52,343.0,81.65,119.0,,,,,,
196.0,23.53,343.7,81.99,119.0,,,,,,
197.0,23.53,344.2,82.26,119.0,,,,,,
198.0,23.53,344.7,82.52,119.0,,,,,,
199.0,23.54,344.8,82.65,120.0,,,,,,
200.0,23.54,344.8,82.77,120.0,,,,,,
201.0,23.54,344.4,82.71,120.0,,,,,,
202.0,23.54,343.6,82.48,121.0,,,,,,
203.0,23.53,342.8,82.24,121.0,,,,,,
204.0,23.55,343.8,82.41,121.0,,,,,,
205.0,23.58,345.1,82.66,121.0,,,,,,
206.0,23.61,345.4,82.86,122.0,,,,,,
207.0,23.65,345.0,83.01,122.0,,,,,,
208.0,23.69,344.6,83.16,123.0,,,,,,
209.0,23.76,343.3,83.0,123.0,,,,,,
210.0,23.83,342.1,82.82,123.0,,,,,,
211.0,23.9,340.9,82.63,124.0,,,,,,
212.0,23.97,339.9,82.44,124.0,,,,,,
213.0,24.04,338.9,82.25,124.0,,,,,,
214.0,24.12,338.6,82.15,125.0,,,,,,
215.0,24.21,338.4,82.07,125.0,,,,,,
216.0,24.29,338.5,82.11,125.0,,,,,,
217.0,24.36,339.0,82.28,125.0,,,,,,
218.0,24.44,339.6,82.48,125.0,,,,,,
219.0,24.49,340.4,82.79,126.0,,,,,,
220.0,24.55,341.2,83.1,126.0,,,,,,
221.0,24.6,341.7,83.32,127.0,,,,,,
222.0,24.63,341.6,83.45,128.0,,,,,,
223.0,24.67,341.5,83.59,129.0,,,,,,
224.0,24.7,341.6,83.76,130.0,,,,,,
225.0,24.72,341.8,83.94,130.0,,,,,,
226.0,24.74,342.0,84.16,130.0,,,,,,
227.0,24.76,342.3,84.39,129.0,,,,,,
228.0,24.79,342.4,84.59,130.0,,,,,,
229.0,24.82,342.2,84.76,129.0,,,,,,
230.0,24.85,342.3,84.98,129.0,,,,,,
231.0,24.89,343.3,85.44,129.0,,,,,,
232.0,24.93,344.3,85.89,129.0,,,,,,
233.0,24.98,344.4,86.1,130.0,,,,,,
234.0,25.02,344.5,86.25,130.0,,,,,,
235.0,25.06,344.4,86.38,130.0,,,,,,
236.0,25.11,344.4,86.46,131.0,,,,,,
237.0,25.15,344.3,86.54,131.0,,,,,,
238.0,25.2,344.2,86.58,131.0,,,,,,
239.0,25.25,344.0,86.59,130.0,,,,,,
240.0,25.29,344.0,86.63,131.0,,,,,,
241.0,25.32,344.1,86.75,130.0,,,,,,
242.0,25.35,344.3,86.86,130.0,,,,,,
243.0,25.37,343.8,86.87,130.0,,,,,,
