BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
18.3,19.5,101.0,101.0,18.0,18.0,,,1.0
25.4,19.5,75.0,88.0,19.0,18.5,,,3.0
20.3,19.8,175.0,117.0,35.0,24.0,,,6.0
19.5,19.3,84.0,108.8,16.0,22.0,,,9.0
21.4,20.4,116.0,110.2,25.0,22.6,,,12.0
21.7,21.1,94.0,107.5,20.0,22.2,,,15.0
19.7,20.5,225.0,124.3,44.0,25.3,,,18.0
25.4,21.0,46.0,114.5,12.0,23.6,,,20.0
23.4,22.2,101.0,113.0,24.0,23.7,,,23.0
23.1,22.8,107.0,112.4,25.0,23.8,,,25.0
21.1,22.5,112.0,112.4,24.0,23.8,,,28.0
21.7,22.8,125.0,113.4,27.0,24.1,,,31.0
23.4,22.8,133.0,114.9,31.0,24.6,,,33.0
25.0,22.8,95.0,113.5,24.0,24.6,,,36.0
25.0,23.4,110.0,113.3,27.0,24.7,,,38.0
25.0,24.5,135.0,114.6,34.0,25.3,,,40.0
25.4,25.0,120.0,114.9,31.0,25.6,,,43.0
24.2,25.0,128.0,115.7,31.0,25.9,,,45.0
20.8,24.7,128.0,116.3,27.0,26.0,,,48.0
21.7,23.6,128.0,116.9,28.0,26.1,,,51.0
21.4,22.5,137.0,117.9,29.0,26.2,,,54.0
22.4,21.9,118.0,117.9,26.0,26.2,,,57.0
22.4,21.9,104.0,117.3,23.0,26.1,,,62.0
22.4,22.2,152.0,118.7,34.0,26.4,,,65.0
16.7,22.1,152.0,120.0,25.0,26.4,,,68.0
12.9,20.5,142.0,120.9,18.0,26.0,,,73.0
16.1,18.4,138.0,121.5,22.0,25.9,,,77.0
22.7,18.4,134.0,122.0,30.0,26.0,,,79.0
57.7,18.5,58.0,119.8,33.0,26.3,,,80.0
12.0,17.3,143.0,120.5,17.0,26.0,,,85.0
14.0,17.6,162.0,121.9,23.0,25.9,,,90.0
20.5,19.1,116.0,121.7,24.0,25.8,,,92.0
15.6,16.7,178.0,123.4,28.0,25.9,,,97.0
16.1,15.3,117.0,123.2,19.0,25.7,,,100.0
16.9,16.2,575.0,136.1,97.0,27.7,,,105.0
18.3,17.1,143.0,136.3,26.0,27.7,,,107.0
17.9,16.9,174.0,137.3,31.0,27.8,,,110.0
17.6,17.5,175.0,138.3,31.0,27.8,,,114.0
19.2,17.9,154.0,138.7,30.0,27.9,,,117.0
17.9,18.0,118.0,138.2,21.0,27.7,,,120.0
22.1,18.3,163.0,138.8,36.0,27.9,,,123.0
17.6,18.2,179.0,139.8,32.0,28.0,,,123.0
13.5,18.2,298.0,143.4,40.0,28.3,,,128.0
53.6,19.2,88.0,142.2,47.0,28.7,,,129.0
13.5,17.7,206.0,143.6,28.0,28.7,,,133.0
16.7,15.9,206.0,145.0,34.0,28.8,,,137.0
20.8,17.0,317.0,148.6,66.0,29.6,,,140.0
21.1,19.5,308.0,151.9,65.0,30.4,,,143.0
21.4,19.5,334.0,155.7,72.0,31.2,,,146.0
20.5,20.8,441.0,161.4,91.0,32.4,,,149.0
