BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
11.3,13.3,286.0,286.0,32.0,32.0,,,0.0
9.1,13.0,278.0,282.0,25.0,28.5,,,7.0
9.7,10.9,215.0,259.7,21.0,26.0,,,13.0
12.0,10.9,276.0,263.8,33.0,27.8,,,18.0
12.6,11.0,35.0,218.0,4.0,23.0,,,23.0
11.7,11.1,232.0,220.3,27.0,23.7,,,28.0
9.8,11.2,209.0,218.7,20.0,23.1,,,34.0
19.0,12.1,44.0,196.9,8.0,21.2,,,37.0
46.9,14.4,59.0,181.6,28.0,22.0,,,38.0
31.9,20.9,554.0,218.8,177.0,37.5,,,41.0
16.0,22.3,30.0,201.6,5.0,34.5,,,45.0
16.0,22.3,35.0,187.8,6.0,32.2,,,46.0
19.2,22.4,87.0,180.0,17.0,31.0,,,47.0
28.8,21.3,136.0,176.9,39.0,31.6,,,49.0
9.0,17.0,215.0,179.4,19.0,30.7,,,75.0
16.1,17.1,44.0,170.9,7.0,29.2,,,77.0
14.3,16.5,442.0,186.9,63.0,31.2,,,83.0
9.8,13.4,254.0,190.6,25.0,30.9,,,88.0
9.4,11.2,156.0,188.8,15.0,30.1,,,94.0
42.9,13.4,40.0,181.4,17.0,29.4,,,96.0
28.8,17.6,327.0,188.3,94.0,32.5,,,98.0
5.1,16.0,37.0,181.4,2.0,31.1,,,110.0
12.1,16.8,240.0,184.0,29.0,31.0,,,114.0
8.5,16.5,150.0,182.5,13.0,30.2,,,121.0
23.4,14.7,56.0,177.5,13.0,29.6,,,127.0
41.7,14.7,67.0,173.2,28.0,29.5,,,128.0
28.3,21.3,163.0,172.9,46.0,30.1,,,130.0
14.9,22.2,285.0,176.9,42.0,30.5,,,136.0
19.2,23.7,79.0,173.5,15.0,30.0,,,137.0
13.6,20.8,132.0,172.1,18.0,29.6,,,139.0
16.7,16.9,179.0,172.3,30.0,29.6,,,142.0
16.3,15.9,327.0,177.2,53.0,30.3,,,146.0
33.3,17.4,66.0,173.8,22.0,30.1,,,148.0
50.0,22.1,77.0,170.9,38.0,30.3,,,149.0
17.2,22.4,439.0,178.6,76.0,31.6,,,154.0
10.9,22.3,385.0,184.3,42.0,31.9,,,158.0
13.5,21.4,119.0,182.6,16.0,31.5,,,163.0
14.0,14.9,78.0,179.8,11.0,30.9,,,166.0
68.2,14.9,106.0,177.9,72.0,32.0,,,168.0
14.4,14.0,215.0,178.8,31.0,32.0,,,172.0
15.3,14.6,435.0,185.1,67.0,32.8,,,176.0
15.3,15.0,346.0,188.9,53.0,33.3,,,179.0
21.7,17.5,183.0,188.8,40.0,33.5,,,182.0
17.9,16.2,236.0,189.9,42.0,33.7,,,185.0
18.1,17.1,194.0,190.0,35.0,33.7,,,189.0
24.6,19.2,181.0,189.8,45.0,33.9,,,191.0
16.7,19.2,281.0,191.7,47.0,34.2,,,195.0
17.2,17.7,252.0,193.0,43.0,34.4,,,199.0
18.5,17.9,241.0,193.9,45.0,34.6,,,201.0
16.7,17.5,291.0,195.9,49.0,34.9,,,205.0
15.8,16.9,457.0,201.0,72.0,35.6,,,209.0
9.9,16.6,302.0,202.9,30.0,35.5,,,215.0
32.6,17.0,198.0,202.8,65.0,36.1,,,217.0
17.0,16.5,257.0,203.9,44.0,36.2,,,220.0
15.3,16.0,261.0,204.9,40.0,36.3,,,224.0
17.4,16.6,259.0,205.9,45.0,36.4,,,228.0
20.0,18.2,151.0,204.9,30.0,36.3,,,231.0
19.7,18.1,209.0,205.0,41.0,36.4,,,234.0
20.0,19.1,295.0,206.5,59.0,36.8,,,237.0
17.0,19.1,281.0,207.7,48.0,37.0,,,240.0
16.3,18.9,166.0,207.0,27.0,36.8,,,244.0
68.2,18.9,43.0,204.4,29.0,36.7,,,245.0
25.9,21.0,192.0,204.2,50.0,36.9,,,247.0
78.9,37.0,72.0,202.1,57.0,37.2,,,251.0
28.3,40.8,395.0,205.1,112.0,38.4,,,256.0
15.6,40.8,225.0,205.4,35.0,38.3,,,259.0
20.8,25.0,338.0,207.4,70.0,38.8,,,262.0
22.4,23.8,216.0,207.5,48.0,38.9,,,265.0
15.6,19.6,440.0,210.9,69.0,39.4,,,269.0
11.0,17.4,221.0,211.0,24.0,39.1,,,274.0
19.5,18.6,177.0,210.5,34.0,39.1,,,277.0
18.3,17.8,289.0,211.6,53.0,39.3,,,281.0
16.7,16.9,268.0,212.4,45.0,39.3,,,284.0
15.8,16.9,203.0,212.3,32.0,39.2,,,288.0
16.0,17.0,276.0,213.1,44.0,39.3,,,292.0
16.7,16.4,281.0,214.0,47.0,39.4,,,295.0
17.0,16.4,217.0,214.1,37.0,39.4,,,299.0
23.4,16.6,196.0,212.9,46.0,39.6,,,301.0
20.3,18.0,402.0,215.3,81.0,40.1,,,304.0
19.0,18.8,222.0,214.6,42.0,40.3,,,307.0
18.3,19.2,178.0,214.1,33.0,40.2,,,311.0
16.7,19.2,181.0,213.7,30.0,40.3,,,314.0
20.5,19.2,162.0,213.1,33.0,40.2,,,317.0
25.9,19.3,145.0,211.4,38.0,40.3,,,319.0
25.0,21.3,200.0,211.3,50.0,40.4,,,322.0
18.1,21.2,235.0,213.8,42.0,40.9,,,325.0
20.0,21.8,168.0,213.0,34.0,41.0,,,328.0
22.4,22.5,198.0,212.8,44.0,41.0,,,331.0
22.7,21.7,181.0,212.4,41.0,41.0,,,334.0
22.4,21.6,393.0,216.7,88.0,42.2,,,338.0
16.3,21.6,322.0,219.9,53.0,42.5,,,340.0
16.5,20.4,304.0,216.9,50.0,41.0,,,343.0
44.1,20.5,178.0,220.9,79.0,42.3,,,347.0
15.0,18.4,466.0,226.7,70.0,43.0,,,351.0
13.2,15.9,393.0,228.8,52.0,43.2,,,356.0
68.2,25.2,254.0,229.1,173.0,44.7,,,356.0
16.1,25.1,79.0,227.3,13.0,44.4,,,360.0
15.8,15.6,192.0,226.9,30.0,44.2,,,365.0
13.6,15.2,295.0,227.7,40.0,44.1,,,370.0
20.8,17.6,65.0,225.8,14.0,43.8,,,373.0
22.7,17.6,127.0,224.7,29.0,43.9,,,375.0
24.6,19.8,272.0,227.4,67.0,44.6,,,378.0
17.2,20.3,336.0,226.2,58.0,44.5,,,383.0
16.3,20.3,254.0,226.5,41.0,44.5,,,385.0
18.8,19.6,413.0,228.3,77.0,45.1,,,388.0
12.5,17.4,208.0,228.1,26.0,44.9,,,393.0
18.5,17.4,209.0,230.9,39.0,45.5,,,396.0
20.3,17.9,245.0,229.9,50.0,45.0,,,399.0
15.6,17.6,412.0,232.0,64.0,45.2,,,403.0
13.6,15.9,429.0,234.2,58.0,45.3,,,407.0
25.0,18.1,43.0,234.3,11.0,45.4,,,410.0
21.7,19.2,184.0,233.7,40.0,45.4,,,413.0
